word,meaning,sentence,sentence_translation
basket,바구니,"She carried a basket full of fresh fruit.","그녀는 신선한 과일이 가득 담긴 바구니를 들고 있었습니다."
bat,"박쥐; 배트","A bat is a mammal that can fly.;He hit the ball hard with the bat.","박쥐는 날 수 있는 포유류입니다.;그는 배트로 공을 세게 쳤습니다."
battle,"전투; 싸움","The soldiers fought a fierce battle.","군인들은 치열한 전투를 벌였습니다."
beat,"때리다; 이기다","Our team beat the champions in the final match.","우리 팀은 결승전에서 챔피언을 이겼습니다."
beautifully,아름답게,"She sings beautifully.","그녀는 아름답게 노래합니다."
beg,구걸하다,"He had to beg for food on the streets.","그는 거리에서 음식을 구걸해야 했습니다."
being,"존재; 생명체","Human beings need social interaction.","인간은 사회적 상호작용이 필요합니다."
belong,속하다,"This book belongs to the library.","이 책은 도서관 소유입니다."
bestseller,베스트셀러,"Her new novel quickly became a bestseller.","그녀의 새 소설은 빠르게 베스트셀러가 되었습니다."
bet,내기하다,"I bet you can't guess what I bought.","내가 무엇을 샀는지 당신은 절대 맞출 수 없을 거라고 장담해요."
bit,조금,"Could you move a little bit to the left?","왼쪽으로 조금만 움직여 주시겠어요?"
bitter,"쓴; 쓰라린","The coffee has a bitter taste.","그 커피는 쓴맛이 납니다."
blank,"빈; 공백","Please write your name on the blank line.","빈 줄에 당신의 이름을 써주세요."
blind,눈먼,"He has been blind since birth.","그는 태어날 때부터 눈이 멀었습니다."
boil,끓다,"Please boil some water for tea.","차를 끓일 물 좀 끓여주세요."
bold,대담한,"It was a bold move to start her own company.","자신의 회사를 시작한 것은 대담한 결정이었습니다."
bond,"유대; 결속","There is a strong bond between the two sisters.","두 자매 사이에는 강한 유대감이 있습니다."
booking,예약,"I'd like to make a hotel booking for next weekend.","다음 주말 호텔 예약을 하고 싶습니다."
boost,증가시키다,"The good news gave a boost to the team's morale.","그 좋은 소식은 팀의 사기를 북돋워 주었습니다."
bored,지루한,"I felt bored during the long lecture.","저는 긴 강의 동안 지루했습니다."
brave,용감한,"The brave firefighter rescued the child from the fire.","용감한 소방관이 불 속에서 아이를 구출했습니다."
bravery,용기,"She was awarded a medal for her bravery.","그녀는 용감함으로 메달을 받았습니다."
brick,벽돌,"The house was built with red bricks.","그 집은 붉은 벽돌로 지어졌습니다."
broaden,넓히다,"Traveling can broaden your perspective on life.","여행은 인생에 대한 당신의 시야를 넓혀줄 수 있습니다."
bucket,양동이,"He filled the bucket with water from the well.","그는 우물에서 물을 양동이에 채웠습니다."
builder,"건축가; 건설자","The builder is constructing a new house next door.","건축가가 옆집에 새 집을 짓고 있습니다."
bulb,전구,"The light bulb in the kitchen needs to be replaced.","주방 전구를 교체해야 합니다."
bulky,"부피가 큰","This suitcase is too bulky to carry on the plane.","이 여행 가방은 너무 부피가 커서 비행기에 들고 탈 수 없습니다."
burden,부담,"I don't want to be a burden to my family.","저는 가족에게 부담이 되고 싶지 않습니다."
bush,덤불,"A small bird was hiding in the bush.","작은 새가 덤불 속에 숨어 있었습니다."
butterfly,나비,"A beautiful butterfly landed on the flower.","아름다운 나비가 꽃 위에 앉았습니다."
calling,"소명; 부름","He felt that teaching was his true calling.","그는 가르치는 것이 자신의 진정한 소명이라고 느꼈습니다."
cancer,암,"Early detection of cancer can save lives.","암의 조기 발견은 생명을 구할 수 있습니다."
captain,"선장; 대장","The captain guided the ship through the storm.","선장은 폭풍 속에서 배를 이끌었습니다."
caring,배려하는,"She is a very caring and compassionate person.","그녀는 매우 배려심 있고 동정심 많은 사람입니다."
carriage,마차,"The royal couple rode in a beautiful horse-drawn carriage.","왕실 부부는 아름다운 말이 끄는 마차를 탔습니다."
cause,"원인; 야기하다","What was the cause of the accident?","사고의 원인은 무엇이었나요?"
cave,동굴,"Early humans used to live in caves.","초기 인류는 동굴에서 살았습니다."
cell,"세포; 감방","The human body is made up of billions of cells.","인체는 수십억 개의 세포로 이루어져 있습니다."
certain,확실한,"I am certain that I locked the door.","저는 문을 잠갔다고 확신합니다."
chance,기회,"This is your last chance to win the prize.","이것이 상을 받을 마지막 기회입니다."
chase,쫓다,"The cat chased the mouse across the room.","고양이가 방을 가로질러 쥐를 쫓았습니다."
cheat,속이다,"It is wrong to cheat on an exam.","시험에서 부정행위를 하는 것은 옳지 않습니다."
cheerful,명랑한,"She has a cheerful and optimistic personality.","그녀는 명랑하고 낙관적인 성격을 가지고 있습니다."
cheerfulness,명랑함,"Her cheerfulness is contagious.","그녀의 명랑함은 전염성이 있습니다."
choice,선택,"You have a choice between coffee and tea.","커피와 차 중에서 선택할 수 있습니다."
cinema,영화관,"Let's go to the cinema to watch a new movie.","새 영화를 보러 영화관에 갑시다."
classical,고전적인,"I enjoy listening to classical music.","저는 고전 음악 듣는 것을 즐깁니다."
client,고객,"The lawyer met with her client to discuss the case.","변호사는 사건을 논의하기 위해 의뢰인을 만났습니다."
coach,"코치; 지도자","The coach gave the team an inspiring speech.","코치는 팀에게 영감을 주는 연설을 했습니다."
coaching,"지도; 훈련","He received private coaching to improve his tennis skills.","그는 테니스 실력을 향상시키기 위해 개인 코칭을 받았습니다."
cohere,"일관되다; 응집하다","The different parts of the story did not cohere well.","이야기의 다른 부분들이 잘 어울리지 않았습니다."
coin,동전,"I found a shiny coin on the sidewalk.","저는 보도에서 반짝이는 동전을 발견했습니다."
coldness,"냉기; 차가움","I could feel the coldness of the winter air.","겨울 공기의 차가움을 느낄 수 있었습니다."
column,"기둥; 칼럼","The ancient temple had large marble columns.","고대 사원에는 큰 대리석 기둥이 있었습니다."
combine,결합하다,"We should combine our ideas to create a better plan.","더 나은 계획을 만들기 위해 우리는 아이디어를 결합해야 합니다."
comment,논평하다,"Would you like to comment on the news?","그 뉴스에 대해 논평하시겠습니까?"
common,"일반적인; 공통의","It is a common mistake to misspell that word.","그 단어의 철자를 틀리는 것은 흔한 실수입니다."
communication,의사소통,"Good communication is key to a successful team.","좋은 의사소통은 성공적인 팀의 핵심입니다."
compete,경쟁하다,"Athletes from all over the world compete in the Olympics.","전 세계의 운동선수들이 올림픽에서 경쟁합니다."
confidently,자신 있게,"She walked confidently onto the stage.","그녀는 자신 있게 무대 위로 걸어갔습니다."
connect,연결하다,"Please connect the printer to the computer.","프린터를 컴퓨터에 연결해 주세요."
connection,"연결; 관계","There is a strong connection between diet and health.","식단과 건강 사이에는 강한 연관성이 있습니다."
contest,"경쟁; 대회","She won first prize in the singing contest.","그녀는 노래 경연 대회에서 1등 상을 받았습니다."
continue,계속하다,"Please continue with your work.","계속해서 당신의 일을 하세요."
copper,구리,"Copper is a good conductor of electricity.","구리는 전기를 잘 통하게 합니다."
core,핵심,"The core of the problem is a lack of communication.","문제의 핵심은 의사소통의 부족입니다."
corrupt,"부패한; 타락한","The corrupt official was arrested for taking bribes.","부패한 공무원은 뇌물을 받은 혐의로 체포되었습니다."
cough,기침하다,"He started to cough because of the smoke.","그는 연기 때문에 기침하기 시작했습니다."
countless,셀 수 없이 많은,"There are countless stars in the night sky.","밤하늘에는 셀 수 없이 많은 별들이 있습니다."
crack,"금; 갈라지다","There is a small crack in the window.","창문에 작은 금이 있습니다."
create,만들다; 창조하다,"The artist can create beautiful paintings.","그 예술가는 아름다운 그림을 만들 수 있습니다."
crop,농작물,"The main crop grown in this area is rice.","이 지역에서 재배되는 주요 농작물은 쌀입니다."
crystal,수정; 크리스탈,"The chandelier was made of beautiful crystal.","그 샹들리에는 아름다운 크리스탈로 만들어졌습니다."
cure,치료하다,"Scientists are working to find a cure for the disease.","과학자들은 그 질병의 치료법을 찾기 위해 노력하고 있습니다."
cycle,"순환; 자전거","The life cycle of a butterfly is fascinating.","나비의 생애 주기는 매혹적입니다."
data,"데이터; 정보","We need to analyze the data to find a solution.","해결책을 찾기 위해 우리는 데이터를 분석해야 합니다."
dated,"오래된; 날짜가 있는","Her style of writing seems a bit dated now.","그녀의 글쓰기 스타일은 이제 좀 구식으로 보입니다."
dawn,"새벽; 시작","We woke up at dawn to see the sunrise.","우리는 일출을 보기 위해 새벽에 일어났습니다."
daylight,햇빛; 낮","The room was filled with bright daylight.","방은 밝은 햇빛으로 가득 찼습니다."
deal,"거래; 협상","We made a deal to sell the car.","우리는 그 차를 팔기로 거래했습니다."
defeat,패배시키다,"Our team managed to defeat the rival team.","우리 팀은 라이벌 팀을 간신히 이겼습니다."
demand,요구하다,"The workers are demanding higher wages.","노동자들은 더 높은 임금을 요구하고 있습니다."
dependence,의존,"The country is trying to reduce its dependence on foreign oil.","그 나라는 외국 석유에 대한 의존도를 줄이려고 노력하고 있습니다."
designer,디자이너,"She is a famous fashion designer in Paris.","그녀는 파리에서 유명한 패션 디자이너입니다."
desire,"욕망; 바람","He has a strong desire to travel the world.","그는 세계를 여행하고 싶은 강한 욕망을 가지고 있습니다."
developed,발전된,"Japan is a highly developed country.","일본은 매우 발전된 나라입니다."
developer,개발자,"She works as a software developer for a tech company.","그녀는 기술 회사에서 소프트웨어 개발자로 일합니다."
developing,개발 중인,"Many developing countries are facing economic challenges.","많은 개발도상국들이 경제적 어려움에 직면해 있습니다."
dice,주사위,"She rolled the dice to see who would go first.","그녀는 누가 먼저 갈지 보기 위해 주사위를 굴렸습니다."
dig,파다,"The dog started to dig a hole in the garden.","개가 정원에 구멍을 파기 시작했습니다."
direction,"방향; 지시","Could you give me directions to the nearest station?","가장 가까운 역으로 가는 길을 알려주시겠어요?"
disappointment,실망,"His face showed his disappointment when he lost the game.","그가 경기에서 졌을 때 그의 얼굴에는 실망감이 드러났습니다."
dislike,싫어하다,"I dislike waking up early in the morning.","저는 아침 일찍 일어나는 것을 싫어합니다."
display,"전시하다; 보여주다","The museum will display a collection of ancient artifacts.","박물관은 고대 유물 컬렉션을 전시할 것입니다."
disposal,"처리; 폐기","Please use the bins for the disposal of your trash.","쓰레기 처리를 위해 쓰레기통을 이용해 주세요."
distinct,뚜렷한; 독특한","The two languages have distinct grammatical structures.","두 언어는 뚜렷이 다른 문법 구조를 가지고 있습니다."
disturb,방해하다,"Please do not disturb me while I'm working.","제가 일하는 동안 방해하지 마세요."
done,끝난,"Once my homework is done, I can go out and play.","숙제가 끝나면, 나가서 놀 수 있어요."
doubt,의심,"I have no doubt that she will succeed.","저는 그녀가 성공할 것이라고 의심하지 않습니다."
drunk,술 취한,"He was too drunk to drive home.","그는 너무 취해서 집에 운전해서 갈 수 없었습니다."
ease,"편안함; 완화하다","The medicine will ease your pain.","그 약은 당신의 통증을 완화시켜 줄 것입니다."
edge,가장자리,"Be careful not to fall off the edge of the cliff.","절벽 가장자리에서 떨어지지 않도록 조심하세요."
educational,교육적인,"The museum offers many educational programs for children.","박물관은 아이들을 위한 많은 교육 프로그램을 제공합니다."
election,선거,"The country will hold a presidential election next year.","그 나라는 내년에 대통령 선거를 치를 것입니다."
element,요소,"Hard work is an essential element of success.","노력은 성공의 필수적인 요소입니다."
elsewhere,다른 곳에서,"If you can't find the book here, try looking elsewhere.","여기서 그 책을 찾을 수 없다면, 다른 곳에서 찾아보세요."
emotion,감정,"Love is a powerful human emotion.","사랑은 강력한 인간의 감정입니다."
emotionally,감정적으로,"The movie was emotionally moving.","그 영화는 감정적으로 감동적이었습니다."
encourage,격려하다,"My parents always encourage me to do my best.","부모님은 항상 제가 최선을 다하도록 격려해 주십니다."
encouraging,고무적인,"The team received some encouraging news about their project.","팀은 프로젝트에 대해 고무적인 소식을 받았습니다."
enjoyment,즐거움,"He gets a lot of enjoyment from playing the guitar.","그는 기타를 치는 것에서 많은 즐거움을 얻습니다."
equip,장비를 갖추다,"The laboratory is well-equipped with modern instruments.","실험실은 현대적인 기구들로 잘 갖추어져 있습니다."
event,"사건; 행사","The wedding was a memorable event for the whole family.","결혼식은 온 가족에게 기억에 남는 행사였습니다."
exact,정확한,"Can you tell me the exact time?","정확한 시간을 알려주시겠어요?"
examine,조사하다; 검사하다,"The doctor will examine the patient to find the cause of the illness.","의사는 병의 원인을 찾기 위해 환자를 진찰할 것입니다."
exceed,초과하다,"The cost of the project should not exceed the budget.","프로젝트 비용은 예산을 초과해서는 안 됩니다."
exist,존재하다,"Do you believe that ghosts really exist?","유령이 정말로 존재한다고 믿나요?"
expect,기대하다,"I expect to finish the work by Friday.","저는 금요일까지 그 일을 끝낼 것으로 기대합니다."
experience,경험,"She has a lot of experience in marketing.","그녀는 마케팅 분야에서 많은 경험을 가지고 있습니다."
explore,탐험하다,"Let's explore the city and see the sights.","도시를 탐험하고 명소를 구경합시다."
expression,표현,"Her facial expression showed that she was surprised.","그녀의 얼굴 표정은 그녀가 놀랐다는 것을 보여주었습니다."
facility,시설,"The sports facility has a swimming pool and a gym.","그 스포츠 시설에는 수영장과 체육관이 있습니다."
fairly,"공정하게; 꽤","She speaks English fairly well.","그녀는 영어를 꽤 잘합니다."
fantasy,환상,"He lives in a fantasy world of his own.","그는 자신만의 환상의 세계에 살고 있습니다."
favor,"호의; 부탁","Could you do me a favor and lend me some money?","부탁 하나 들어주시겠어요? 돈 좀 빌려주세요."
fax,팩스,"Please send the document by fax.","문서를 팩스로 보내주세요."
fear,두려움,"She has a great fear of spiders.","그녀는 거미를 매우 두려워합니다."
fearless,두려움 없는,"The fearless soldier charged into battle.","두려움 없는 군인이 전투에 돌격했습니다."
feedback,피드백; 반응,"We received a lot of positive feedback from our customers.","우리는 고객들로부터 많은 긍정적인 피드백을 받았습니다."
feeling,"느낌; 감정","I have a strange feeling that something is wrong.","무언가 잘못되었다는 이상한 느낌이 들어요."
fell,떨어졌다,"He slipped on the ice and fell.","그는 얼음 위에서 미끄러져 넘어졌습니다."
fellow,동료,"He is a well-respected fellow in his field.","그는 자신의 분야에서 존경받는 동료입니다."
female,여성,"The job is open to both male and female applicants.","그 일자리는 남성 및 여성 지원자 모두에게 열려 있습니다."
fence,울타리,"There is a wooden fence around the garden.","정원 주위에는 나무 울타리가 있습니다."
festival,축제,"The city holds an annual music festival in the summer.","그 도시는 여름에 연례 음악 축제를 개최합니다."
fever,열,"She has a high fever and needs to see a doctor.","그녀는 열이 높아서 의사의 진찰을 받아야 합니다."
few,소수의,"Only a few people attended the meeting.","회의에는 소수의 사람들만 참석했습니다."
film,"영화; 필름","What's your favorite film of all time?","역대 가장 좋아하는 영화는 무엇인가요?"
firm,"단단한; 회사","The company has a firm commitment to quality.","그 회사는 품질에 대한 확고한 약속을 가지고 있습니다."
fits,맞다,"This key fits the lock perfectly.","이 열쇠는 자물쇠에 완벽하게 맞습니다."
flag,깃발,"The national flag was flying at half-mast.","국기는 조기로 게양되어 있었습니다."
fold,접다,"Please fold the clothes neatly.","옷을 깔끔하게 접어주세요."
foresee,예견하다,"No one could foresee the consequences of the decision.","아무도 그 결정의 결과를 예견할 수 없었습니다."
forever,영원히,"I will love you forever.","영원히 당신을 사랑할게요."
format,형식,"Please save the file in PDF format.","파일을 PDF 형식으로 저장해 주세요."
foundation,"기초; 재단","A strong foundation is important for any building.","어떤 건물이든 튼튼한 기초가 중요합니다."
fragment,"조각; 파편","A small fragment of glass was left on the floor.","바닥에 작은 유리 조각이 남아 있었습니다."
freedom,자유,"Freedom of speech is a fundamental right.","표현의 자유는 기본적인 권리입니다."
friendship,우정,"Their friendship has lasted for many years.","그들의 우정은 수년 동안 지속되었습니다."
fruitful,결실 있는,"We had a fruitful discussion about the future of the company.","우리는 회사의 미래에 대해 유익한 논의를 했습니다."
function,기능,"What is the main function of this device?","이 장치의 주요 기능은 무엇인가요?"
furthermore,게다가,"The house is beautiful. Furthermore, it's in a great location.","그 집은 아름답습니다. 게다가, 위치도 아주 좋습니다."
furthest,가장 먼,"Which planet is furthest from the sun?","태양에서 가장 먼 행성은 무엇인가요?"
gamble,도박하다,"He lost all his money gambling at the casino.","그는 카지노에서 도박으로 모든 돈을 잃었습니다."
gather,모으다,"Let's gather some firewood for the campfire.","캠프파이어를 위해 장작을 좀 모읍시다."
gender,성별,"The survey asks for your age, gender, and occupation.","설문조사는 당신의 나이, 성별, 직업을 묻습니다."
ghost,유령,"Some people believe that ghosts exist.","어떤 사람들은 유령이 존재한다고 믿습니다."
gifted,재능 있는,"She is a gifted musician who can play several instruments.","그녀는 여러 악기를 연주할 수 있는 재능 있는 음악가입니다."
giraffe,기린,"The giraffe is the tallest animal in the world.","기린은 세계에서 가장 키가 큰 동물입니다."
glory,영광,"He fought for the glory of his country.","그는 조국의 영광을 위해 싸웠습니다."
glue,"풀; 접착제","Use some glue to stick the two pieces of paper together.","두 장의 종이를 붙이려면 풀을 사용하세요."
goat,염소,"The goat was eating grass in the field.","염소가 들판에서 풀을 뜯어 먹고 있었습니다."
going,"진행; 떠남","Where are you going on your vacation?","휴가 때 어디로 가시나요?"
goodness,선함,"She is a person of great goodness and kindness.","그녀는 매우 선하고 친절한 사람입니다."
government,정부,"The government is responsible for the welfare of its citizens.","정부는 시민의 복지를 책임집니다."
grateful,감사하는,"I am very grateful for all your help.","당신의 모든 도움에 정말 감사합니다."
greatly,매우,"I greatly appreciate your support.","당신의 지원에 매우 감사합니다."
groceries,식료품,"I need to go to the store to buy some groceries.","식료품을 좀 사러 가게에 가야 해요."
gross,"총계의; 역겨운","The gross profit of the company increased this year.","회사의 총 이익은 올해 증가했습니다."
grounds,"부지 / 근거","The hotel has beautiful grounds with a large garden.","그 호텔은 큰 정원이 있는 아름다운 부지를 가지고 있습니다."
growing,성장하는,"There is a growing demand for organic food.","유기농 식품에 대한 수요가 증가하고 있습니다."
guilt,죄책감,"He felt a sense of guilt for what he had done.","그는 자신이 한 일에 대해 죄책감을 느꼈습니다."
handy,편리한,"This small toolbox is very handy to have around the house.","이 작은 공구 상자는 집 주변에 두기에 매우 편리합니다."
happiness,행복,"Her children are her greatest source of happiness.","그녀의 아이들은 그녀의 가장 큰 행복의 원천입니다."
hardly,거의 ~않다,"I can hardly hear what you are saying.","당신이 무슨 말을 하는지 거의 들리지 않아요."
harsh,"거친; 가혹한","The team faced harsh criticism after losing the game.","팀은 경기에서 진 후 가혹한 비판에 직면했습니다."
headline,헤드라인; 제목","The news of the scandal made the front-page headline.","스캔들 소식은 1면 헤드라인을 장식했습니다."
heal,치유하다,"It will take some time for the wound to heal.","상처가 치유되는 데는 시간이 좀 걸릴 것입니다."
height,키; 높이,"What is the height of that building?","저 건물의 높이는 얼마인가요?"
helpful,도움이 되는,"Your advice was very helpful.","당신의 조언은 매우 도움이 되었습니다."
hence,그러므로 / 지금부터,"He was very tired; hence, he went to bed early.","그는 매우 피곤했습니다. 그래서 일찍 잠자리에 들었습니다."
hide,숨기다,"She tried to hide her disappointment with a smile.","그녀는 미소로 실망감을 감추려고 했습니다."
highway,고속도로,"The highway was busy with traffic.","고속도로는 교통량이 많았습니다."
holy,신성한,"The church is considered a holy place.","교회는 신성한 장소로 여겨집니다."
honest,정직한,"He is an honest man who always tells the truth.","그는 항상 진실을 말하는 정직한 사람입니다."
honesty,정직,"Honesty is the best policy.","정직이 최상의 방책이다."
hopeless,절망적인,"The situation seemed hopeless, but they didn't give up.","상황은 절망적으로 보였지만, 그들은 포기하지 않았습니다."
host,"주인; 진행자","He was the host of the party.","그가 파티의 주인이었습니다."
hostel,호스텔,"We stayed at a youth hostel to save money.","우리는 돈을 아끼기 위해 유스호스텔에 묵었습니다."
housing,"주택; 주거","The city is facing a shortage of affordable housing.","그 도시는 저렴한 주택 부족에 직면해 있습니다."
hug,포옹,"She gave her friend a warm hug.","그녀는 친구를 따뜻하게 안아주었습니다."
huge,거대한,"A huge wave crashed onto the shore.","거대한 파도가 해안으로 밀려왔습니다."
hunting,사냥,"Hunting is a popular sport in this region.","사냥은 이 지역에서 인기 있는 스포츠입니다."
hut,오두막,"They built a small hut in the woods.","그들은 숲 속에 작은 오두막을 지었습니다."
ideal,이상적인,"This is the ideal location for a new school.","이곳은 새 학교를 짓기에 이상적인 장소입니다."
illness,질병,"She is recovering from a long illness.","그녀는 오랜 질병에서 회복 중입니다."
imagine,상상하다,"Can you imagine a world without technology?","기술이 없는 세상을 상상할 수 있나요?"
impatient,참을성 없는,"He grew impatient waiting for the bus.","그는 버스를 기다리다가 참을성이 없어졌습니다."
indicate,나타내다; 가리키다","The road sign indicates a sharp turn ahead.","도로 표지판은 앞쪽에 급커브가 있음을 나타냅니다."
inexpensive,저렴한,"This restaurant offers delicious and inexpensive meals.","이 식당은 맛있고 저렴한 식사를 제공합니다."
influential,영향력 있는,"He is an influential figure in the world of politics.","그는 정치계에서 영향력 있는 인물입니다."
info,정보,"For more info, please visit our website.","더 많은 정보를 원하시면 저희 웹사이트를 방문해 주세요."
inquire,문의하다,"I would like to inquire about the price of the tickets.","티켓 가격에 대해 문의하고 싶습니다."
insist,주장하다,"She insisted on paying for the meal.","그녀는 식사비를 내겠다고 고집했습니다."
intention,의도,"I have no intention of changing my mind.","저는 제 마음을 바꿀 의도가 없습니다."
internationally,국제적으로,"The company is internationally known for its innovative products.","그 회사는 혁신적인 제품으로 국제적으로 알려져 있습니다."
invent,발명하다,"Who invented the telephone?","전화기를 누가 발명했나요?"
invest,투자하다,"He decided to invest his money in the stock market.","그는 주식 시장에 돈을 투자하기로 결정했습니다."
joint,"공동의 / 관절","It was a joint decision made by the whole team.","그것은 팀 전체가 내린 공동의 결정이었습니다."
journal,"일지 / 저널","She keeps a journal to write down her thoughts.","그녀는 자신의 생각을 적기 위해 일기를 씁니다."
juicy,즙이 많은,"This orange is very sweet and juicy.","이 오렌지는 매우 달고 즙이 많습니다."
just,"공정한 / 단지","The referee made a just decision.","심판은 공정한 판정을 내렸습니다."
kidney,신장,"The kidneys play a vital role in filtering waste from the blood.","신장은 혈액에서 노폐물을 거르는 데 중요한 역할을 합니다."
killer,살인자,"The police are still searching for the killer.","경찰은 여전히 그 살인자를 찾고 있습니다."
kingdom,왕국,"The story is set in a magical kingdom far away.","그 이야기는 멀리 떨어진 마법의 왕국을 배경으로 합니다."
knock,두드리다,"Someone is knocking on the front door.","누군가 앞문을 두드리고 있습니다."
label,"라벨; 상표","Please read the warning label before using the product.","제품을 사용하기 전에 경고 라벨을 읽어주세요."
labor,노동,"The construction of the bridge required a lot of hard labor.","그 다리 건설에는 많은 힘든 노동이 필요했습니다."
ladder,사다리,"He used a ladder to reach the top shelf.","그는 맨 위 선반에 닿기 위해 사다리를 사용했습니다."
lady,숙녀,"A kind lady helped me find my lost dog.","친절한 숙녀분이 제가 잃어버린 개를 찾는 것을 도와주었습니다."
lamb,어린 양,"We saw a newborn lamb in the field.","우리는 들판에서 갓 태어난 어린 양을 보았습니다."
land,"땅; 육지","After weeks at sea, the sailors were happy to see land.","바다에서 몇 주를 보낸 후, 선원들은 육지를 보고 기뻐했습니다."
lane,"차선; 길","You should always stay in your own lane when driving.","운전할 때는 항상 자신의 차선을 지켜야 합니다."
largely,대부분,"The success of the event was largely due to teamwork.","그 행사의 성공은 대부분 팀워크 덕분이었습니다."
lawyer,변호사,"She is a successful lawyer who specializes in family law.","그녀는 가족법을 전문으로 하는 성공한 변호사입니다."
lead,"이끌다; 납","A good manager knows how to lead a team effectively.","훌륭한 관리자는 팀을 효과적으로 이끄는 방법을 압니다."
leader,지도자,"He was a great leader who inspired many people.","그는 많은 사람들에게 영감을 준 위대한 지도자였습니다."
leaf,잎,"A single yellow leaf fell from the tree.","나무에서 노란 잎 하나가 떨어졌습니다."
learner,학습자,"He is a quick learner and adapts easily to new situations.","그는 빠른 학습자이며 새로운 상황에 쉽게 적응합니다."
leisure,여가,"What do you enjoy doing in your leisure time?","여가 시간에 무엇을 하는 것을 즐기시나요?"
license,"면허; 허가증","Do you have a valid driver's license?","유효한 운전 면허증이 있으신가요?"
lifestyle,생활 방식,"Regular exercise is part of a healthy lifestyle.","규칙적인 운동은 건강한 생활 방식의 일부입니다."
lightly,가볍게,"She lightly touched the flower so as not to damage it.","그녀는 꽃이 상하지 않도록 가볍게 만졌습니다."
limited,제한된,"There are a limited number of seats available.","이용 가능한 좌석 수가 제한되어 있습니다."
lively,활기찬,"The city has a lively nightlife with many bars and clubs.","그 도시는 많은 바와 클럽이 있는 활기찬 밤문화를 가지고 있습니다."
living,"살아있는; 생활","The cost of living in a big city can be very high.","대도시의 생활비는 매우 비쌀 수 있습니다."
loaf,빵 덩어리,"I bought a fresh loaf of bread from the bakery.","저는 빵집에서 갓 구운 빵 한 덩어리를 샀습니다."
