word,meaning,sentence,sentence_translation
adventurous,"모험심이 강한","He leads a very adventurous life.","그는 매우 모험적인 삶을 산다."
adverse,"반대의; 부정적인","The drug has no adverse side effects.","그 약은 부작용이 없다."
advise,"의논하다; 충고하다; 알리다","I would advise you to book your tickets in advance.","표를 미리 예매하라고 조언하고 싶습니다."
affect,"영향을 미치다; 충격을 주다","The weather can greatly affect people's moods.","날씨는 사람들의 기분에 큰 영향을 미칠 수 있다."
affectionate,"애정 깊은; 상냥한","He is very affectionate towards his family.","그는 가족에게 매우 다정하다."
affirmative,"긍정의 말;긍정하는","She gave an affirmative nod.","그녀는 긍정의 뜻으로 고개를 끄덕였다."
affordable,"감당할 수 있는; 알맞은","This restaurant offers delicious and affordable meals.","이 식당은 맛있고 저렴한 식사를 제공한다."
aftermath,"여파; 영향","In the aftermath of the storm, many roads were blocked.","폭풍의 여파로 많은 도로가 막혔다."
afterward,"후에; 나중에","We had dinner and went for a walk afterward.","우리는 저녁을 먹고 그 후에 산책을 갔다."
agreeable,"기분 좋은; 받아들일 수 있는; 알맞은","We spent an agreeable afternoon in the park.","우리는 공원에서 기분 좋은 오후를 보냈다."
aimless,"목적 없는; 방향을 잃은","He wandered through the city with no aimless direction.","그는 목적 없이 도시를 헤맸다."
alcoholic,"알코올 중독자;술의; 알코올성의","He is a recovering alcoholic attending support meetings.","그는 지원 모임에 참석하는 회복 중인 알코올 중독자이다."
alignment,가지런함,"The alignment of the books on the shelf was perfect.","선반 위 책들의 정렬은 완벽했다."
allegedly,"주장하는 바에 따르면; 전해진 바에 의하면","She allegedly stole the necklace from the store.","전해진 바에 따르면 그녀는 그 가게에서 목걸이를 훔쳤다고 한다."
allocation,"할당; 배당액","The allocation of funds for the new project was approved.","새 프로젝트를 위한 자금 할당이 승인되었다."
allow,"허락하다; 할 수 있게 해주다","My parents won't allow me to stay out late.","부모님은 내가 늦게까지 밖에 있는 것을 허락하지 않으신다."
allowance,"수당; 용돈; 공제; 허용","I receive a small monthly allowance from my parents.","나는 부모님으로부터 매달 적은 용돈을 받는다."
along with,"~과 함께","She brought a friend along with her to the party.","그녀는 파티에 친구를 데리고 왔다."
alter,"변하다; 바꾸다","We may have to alter our plans because of the weather.","날씨 때문에 우리는 계획을 변경해야 할지도 모른다."
alternatively,"대신에; 양자택일로","We could go to the cinema, or alternatively, we could stay home and watch a movie.","우리는 영화관에 가거나, 아니면 집에서 영화를 볼 수도 있다."
altruism,"이타주의; 이타심","Firefighters often show great altruism in their work.","소방관들은 종종 자신의 일에서 위대한 이타심을 보여준다."
amateur,"아마추어; 비전문가;취미로 하는; 아마추어의","He's an amateur photographer, but his pictures are amazing.","그는 아마추어 사진작가이지만, 그의 사진들은 정말 훌륭하다."
amazing,"놀라운; 멋진; 기가 막힌","The view from the top of the mountain was absolutely amazing.","산 정상에서 바라본 경치는 정말 놀라웠다."
ambiguous,"애매모호한","The instructions were ambiguous, so I didn't know what to do.","지시사항이 애매모호해서, 나는 무엇을 해야 할지 몰랐다."
amend,"고치다; 개정하다","The government decided to amend the law.","정부는 그 법률을 개정하기로 결정했다."
amplifier,"확대하는 사람(것); 앰프; 증폭기","The guitarist plugged his guitar into a large amplifier.","그 기타리스트는 자신의 기타를 큰 앰프에 꽂았다."
amusement,"재미; 오락","His eyes were filled with amusement.","그의 눈은 재미있다는 듯이 빛나고 있었다."
ancient,"고대인;고대의; 오래된","We visited the ancient city of Athens.","우리는 고대 도시 아테네를 방문했다."
angular,"모난; 각도의; 뼈가 앙상한","He had a thin, angular face.","그는 마르고 각진 얼굴을 가지고 있었다."
animated,"활기찬; 만화 영화로 된","She became very animated when she started talking about her trip.","그녀는 자신의 여행에 대해 이야기하기 시작했을 때 매우 활기차졌다."
anniversary,기념일,"We are celebrating our tenth wedding anniversary today.","우리는 오늘 결혼 10주년 기념일을 축하하고 있다."
annual,"연보; 졸업 앨범;1년에 걸치는; 해마다의","The company has its annual meeting in December.","그 회사는 12월에 연례 회의를 한다."
antique,"골동품;골동품인","The shop sells antique furniture and jewelry.","그 가게는 골동 가구와 보석을 판매한다."
anxiously,"걱정스럽게; 애타게","She anxiously waited for the doctor's call.","그녀는 걱정스럽게 의사의 전화를 기다렸다."
apparently,"겉으로 보기에; 분명히","Apparently, he is going to resign from his position.","겉으로 보기에, 그는 자리에서 물러날 것 같다."
appeal,"간청; 호소; 매력;호소하다; 인기가 있다","The charity made an appeal for donations.;This type of music appeals to a younger audience.","그 자선단체는 기부를 호소했다.;이런 종류의 음악은 젊은 층에게 인기가 있다."
appear,"나타나다; ~인 것 같이 보이다","He appeared to be tired after the long journey.","그는 긴 여행 후에 피곤해 보였다."
"apply for","~에 지원하다","I am going to apply for the marketing position.","저는 마케팅 직무에 지원할 것입니다."
appreciate,"진가를 알아보다; 고마워하다; (제대로) 인식하다","I really appreciate all your hard work.","당신의 모든 노고에 진심으로 감사합니다."
approachable,"접근 가능한; 말을 붙이기 쉬운","The manager is very approachable and easy to talk to.","그 관리자는 매우 다가가기 쉽고 이야기하기 편하다."
area,"지역; 구역; 면적","Many people are moving out of rural areas to the city.","많은 사람들이 농촌 지역을 떠나 도시로 이주하고 있다."
argue,"주장을 하다; 언쟁을 하다; 분명히 보여주다","I don't want to argue with you about this.","나는 이 문제로 당신과 언쟁하고 싶지 않아요."
arise,"발생하다; 생기다; 일어나다","Problems may arise if we don't plan carefully.","우리가 신중하게 계획하지 않으면 문제가 발생할 수 있다."
armed,무장한,"The bank robbers were armed and dangerous.","은행 강도들은 무장했고 위험했다."
article,"기사; 논문; 물품; 관사; 열거하다","I read an interesting article about climate change.","나는 기후 변화에 대한 흥미로운 기사를 읽었다."
as such,"따라서; 그렇게","He is a member of the club and, as such, has the right to use the facilities.","그는 클럽의 회원이며, 따라서 시설을 이용할 권리가 있다."
as well,"~도 또한; 역시","If you are going to the party, I'll come as well.","네가 파티에 간다면, 나도 역시 갈 것이다."
assault,"공격; 폭행; 공격하다; 폭행하다","The man was charged with assault after the fight.","그 남자는 싸움 후에 폭행 혐의로 기소되었다."
assertive,"적극적인; 확신에 찬","You need to be more assertive in meetings to make your point.","자신의 의견을 말하려면 회의에서 더 적극적일 필요가 있다."
assignment,"과제; 임무; 배정","My history assignment is due on Friday.","내 역사 과제는 금요일까지이다."
assistant,"조수; 보조원; 부-; 조-","She works as a research assistant at the university.","그녀는 대학에서 연구 조교로 일한다."
assorted,"여러 가지의; 갖가지","The box contained an assorted collection of candies.","그 상자에는 여러 종류의 사탕이 들어 있었다."
at any rate,"어쨌든; 적어도; 하여튼","I'm not sure if he will come, but at any rate, we should be prepared.","그가 올지 확실하지 않지만, 어쨌든 우리는 준비해야 한다."
attach,"붙이다; 달라붙다","Please attach a recent photograph to your application form.","지원서에 최근 사진을 첨부해 주세요."
attend,"출석하다; 다니다; 돌보다","How many people will attend the conference?","얼마나 많은 사람들이 그 회의에 참석할까요?"
attendance,"출석; 참석자 수; 입장객 수","Attendance has been low at recent school events.","최근 학교 행사의 참석률이 저조했다."
attitude,"태도; 사고방식; 자세","His positive attitude makes him a great team member.","그의 긍정적인 태도는 그를 훌륭한 팀원으로 만든다."
attorney,"변호사; 대리인","You should seek advice from an attorney.","변호사에게 조언을 구해야 합니다."
attractiveness,매력,"The main attractiveness of the town is its historical architecture.","그 마을의 주된 매력은 역사적인 건축물이다."
audience,"청중; 관객; 지지자","The audience applauded loudly after the performance.","공연이 끝난 후 관객들은 큰 박수를 보냈다."
august,"위엄 있는; 존엄한","We visited the august halls of the national museum.","우리는 국립 박물관의 위엄 있는 홀을 방문했다."
author,"작가; 저자","Who is your favorite author?","당신이 가장 좋아하는 작가는 누구입니까?"
authority,"당국; 권위; 권한","The local authorities have decided to close the road.","지방 당국은 도로를 폐쇄하기로 결정했다."
autonomy,"자치권; 자주성","The new law gives the region greater autonomy.","새 법률은 그 지역에 더 큰 자치권을 부여한다."
available,"이용 가능한","Are there any tickets available for tonight's show?","오늘 밤 공연에 이용 가능한 표가 있나요?"
average,"평균; 보통; 평균의","The average score on the test was 75%.","시험의 평균 점수는 75%였다."
aviator,"비행사; 조종사","Amelia Earhart was a pioneering aviator.","아멜리아 이어하트는 선구적인 비행사였다."
avoid,"피하다; 예방하다","Try to avoid making the same mistake again.","같은 실수를 다시 저지르지 않도록 노력하세요."
award,"상; 상금; 수여하다; 주다","She won an award for her outstanding contribution.","그녀는 뛰어난 공헌으로 상을 받았다."
awesome,"경탄할 만한; 엄청난; 훌륭한","The view from the top of the mountain was awesome.","산 정상에서 본 경치는 정말 멋졌다."
bachelor,"학사; 미혼 남성","He has a bachelor's degree in computer science.","그는 컴퓨터 공학 학사 학위를 가지고 있다."
ballot,"무기명 투표; 무기명 투표를 실시하다","The election will be decided by a secret ballot.","선거는 무기명 투표로 결정될 것이다."
ban,"금지; 금지하다","The city has imposed a ban on plastic bags.","그 도시는 비닐봉지 사용을 금지했다."
barely,"간신히; 겨우","I could barely hear what she was saying.","나는 그녀가 무슨 말을 하는지 간신히 들을 수 있었다."
basis,"기초; 근거; 원리","His argument has no basis in fact.","그의 주장에는 사실에 근거가 없다."
bay,"(바다) 만","The hotel has a beautiful view of the bay.","그 호텔은 만의 아름다운 경치를 가지고 있다."
beach,"해변; 바닷가","Let's go for a walk along the beach.","해변을 따라 산책하러 가자."
bear,"낳다; 견디다","I cannot bear to see him so unhappy.","나는 그가 그렇게 불행한 것을 차마 볼 수 없다."
"bear the brunt of","~의 맹공을 정면에서 견디다","Coastal areas bore the brunt of the storm.","해안 지역이 폭풍의 맹공을 정면으로 받았다."
belong,"속하다; 소속하다","Does this book belong to you?","이 책은 당신의 것인가요?"
bend,"굽히다; 휘다","Can you bend your knees?","무릎을 굽힐 수 있나요?"
beverage,음료,"What kind of beverage would you like?","어떤 종류의 음료를 원하세요?"
bias,"편견; 치우침","The news report showed a clear bias towards the government.","그 뉴스 보도는 정부에 대한 명백한 편견을 보여주었다."
bike,"자전거; 오토바이;자전거(오토바이)를 타다","I like to bike to work when the weather is nice.","저는 날씨가 좋을 때 자전거를 타고 출근하는 것을 좋아합니다."
billiards,당구,"They spent the evening playing billiards.","그들은 당구를 치며 저녁을 보냈다."
biodiversity,생물 다양성,"The Amazon rainforest is known for its rich biodiversity.","아마존 열대우림은 풍부한 생물 다양성으로 유명하다."
biofuel,바이오 연료,"Scientists are developing new types of biofuel.","과학자들은 새로운 종류의 바이오 연료를 개발하고 있다."
bitterly,"몹시; 심하게","She complained bitterly about the cold weather.","그녀는 추운 날씨에 대해 몹시 불평했다."
bizarre,"기괴한; 별난","He told me a bizarre story about seeing a ghost.","그는 나에게 유령을 본 기괴한 이야기를 해주었다."
block,"덩어리; 블록;차단하다; 방해하다","A fallen tree is blocking the road.","쓰러진 나무가 길을 막고 있다."
"blonde (=blond)","금발 머리;금발 머리인","She has long blonde hair.","그녀는 긴 금발 머리를 가지고 있다."
blow,"한 줄기 바람; 코 풀기;바람에 날리다; 불다; 폭파하다","The wind is blowing hard today.","오늘은 바람이 세게 분다."
"blown away",크게 감동받은,"I was blown away by her amazing performance.","나는 그녀의 놀라운 공연에 크게 감동받았다."
"boarding school",기숙학교,"He was sent to a boarding school when he was young.","그는 어렸을 때 기숙학교에 보내졌다."
boost,"증대; 격려;돋우다; 밀어올리다; 증가하다","The good news gave a boost to the team's morale.","그 좋은 소식은 팀의 사기를 북돋워 주었다."
bother,"귀찮게 하다; 신경쓰다","I'm sorry to bother you, but could you help me?","귀찮게 해드려 죄송하지만, 좀 도와주시겠어요?"
boundary,경계(선),"The river forms the boundary between the two countries.","그 강은 두 나라 사이의 경계를 이룬다."
bountiful,"풍부한; 너그러운","We enjoyed a bountiful harvest this year.","우리는 올해 풍성한 수확을 즐겼다."
brace,"버팀대; 보호대;대비를 하다; 떠받치다","You should brace yourself for some bad news.","안 좋은 소식에 대비해야 합니다."
bracket,"선반; 괄호; 계층;선반을 달다; 괄호로 묶다","The items in the highest price bracket are very expensive.","가장 높은 가격대의 품목들은 매우 비싸다."
braid,"땋은 머리;(머리; 줄을) 땋다; 꼬다","She knows how to braid her own hair.","그녀는 스스로 머리를 땋을 줄 안다."
branch,"나뭇가지; 지사; 분과;갈라지다; 나뉘다","Our bank has branches all over the country.","우리 은행은 전국에 지점을 두고 있습니다."
breeze,"산들바람; 미풍","A gentle breeze was blowing through the trees.","부드러운 산들바람이 나무 사이로 불고 있었다."
brewing,"양조; 양조주","The art of brewing beer takes time and patience.","맥주 양조 기술은 시간과 인내가 필요하다."
bribery,뇌물 수수,"The official was arrested for bribery.","그 공무원은 뇌물 수수 혐의로 체포되었다."
brick,벽돌,"The house was built with red bricks.","그 집은 붉은 벽돌로 지어졌다."
brief,"개요; 짧은 기사;간단히 알리다; 요약하다;잠시의; 간결한","The meeting will be brief.","회의는 짧게 진행될 것입니다."
bright,"밝은; 빛나는","The sun is very bright today.","오늘은 해가 매우 밝다."
brilliant,"훌륭한; 눈부신; 멋진","She came up with a brilliant idea.","그녀는 아주 훌륭한 아이디어를 내놓았다."
broad,폭넓은,"He has a broad knowledge of history.","그는 역사에 대한 폭넓은 지식을 가지고 있다."
brutal,"잔인한; 야만적인; 냉엄한","The dictator was known for his brutal treatment of prisoners.","그 독재자는 포로에 대한 잔인한 처우로 알려져 있었다."
budget,예산,"We need to set a budget for our vacation.","우리는 휴가 예산을 세워야 한다."
bun,"둥근 빵; 쪽진 둥근 머리","She wore her hair in a tight bun.","그녀는 머리를 단단한 쪽머리로 묶었다."
burning,"연소;불타는; 중대한","It is a burning question that needs to be answered.","그것은 답변이 필요한 중대한 질문이다."
business,"일; 기업; 사업;직업상의","He runs a successful small business.","그는 성공적인 소규모 사업체를 운영한다."
"by ~ing",~함으로써,"You can learn a new language by studying a little every day.","매일 조금씩 공부함으로써 새로운 언어를 배울 수 있다."
cabinet,"장식장; 캐비닛; 내각;내각의; 기밀의; 장식장의","The documents are stored in a locked cabinet.","그 서류들은 잠긴 캐비닛에 보관되어 있다."
calamity,"재앙; 재난","The flood was a great calamity for the village.","그 홍수는 마을에 큰 재앙이었다."
calculate,"계산하다; 추산하다","I need to calculate my monthly expenses.","나는 월별 지출을 계산해야 한다."
camel,낙타,"A camel can travel for days without water.","낙타는 물 없이 며칠을 여행할 수 있다."
campaign,"캠페인; 유세 (선거 운동);캠페인을 벌이다","The company launched a new advertising campaign.","그 회사는 새로운 광고 캠페인을 시작했다."
capacity,"수용력(량); 용량; 성능;최대한의; 꽉 찬","The hall has a seating capacity of 500.","그 홀의 좌석 수용 능력은 500명이다."
capital,"수도; 대문자; 자본;대문자의","What is the capital of Australia?","호주의 수도는 어디인가요?"
capricious,"변덕스러운; 잘 변하는","The weather here is very capricious.","이곳의 날씨는 매우 변덕스럽다."
capture,"포획; 점령;붙잡다; 점령하다; 사로잡다","The police managed to capture the thief.","경찰은 도둑을 붙잡는 데 성공했다."
career,"직업; 직장생활","She is focusing on her career as a doctor.","그녀는 의사로서의 직업에 집중하고 있다."
cargo,"화물; 짐","The ship was loaded with cargo for a long voyage.","그 배는 긴 항해를 위한 화물을 싣고 있었다."
carrot,당근,"Rabbits love to eat carrots.","토끼는 당근 먹는 것을 좋아한다."
carry,"운반;나르다; 지니다; 도달하다","Can you help me carry this heavy box?","이 무거운 상자 옮기는 것 좀 도와줄래요?"
cautiously,조심스럽게,"She cautiously walked across the slippery floor.","그녀는 미끄러운 바닥을 조심스럽게 가로질러 걸었다."
ceaseless,끊임없는,"The ceaseless rain lasted for three days.","끊임없는 비가 3일 동안 계속되었다."
celebrate,"기념하다; 축하하다","We are going to celebrate his birthday tonight.","우리는 오늘 밤 그의 생일을 축하할 것이다."
certain,"몇 개; 몇 사람;특정한; 확실한; 어떤","I am certain that I left my keys on the table.","나는 열쇠를 탁자 위에 두고 온 것이 확실하다."
chairman,"의장; 사회자; 책임자;의(회)장직을 맡다; 사회하다","He was elected chairman of the board.","그는 이사회 의장으로 선출되었다."
challenging,"도전적인; 힘든","Learning a new language can be a challenging task.","새로운 언어를 배우는 것은 힘든 일이 될 수 있다."
chaos,"혼돈; 무질서","After the concert, the station was in complete chaos.","콘서트가 끝난 후, 역은 완전한 혼돈 상태였다."
chaotic,"혼돈된; 무질서한","The city's traffic is chaotic during peak hours.","그 도시의 교통은 출퇴근 시간에 혼잡하다."
charm,"매력; 마법; 장식;매혹하다; 매력이 있다; 마법을 걸다","The small village has a lot of charm.","그 작은 마을은 많은 매력을 가지고 있다."
chat,"담소; 수다; 채팅;이야기를 나누다; 수다를 떨다; 채팅하다","I had a nice chat with my neighbor this morning.","나는 오늘 아침 이웃과 즐거운 담소를 나누었다."
cheery,"기분 좋은; 명랑한","She has a very cheery personality.","그녀는 매우 명랑한 성격을 가지고 있다."
chemical,"화학 제품;화학의","This cleaner contains some strong chemicals.","이 세제에는 몇 가지 강한 화학 제품이 들어 있다."
chew,"씹기;씹다; 심사숙고하다","Remember to chew your food slowly.","음식을 천천히 씹는 것을 기억하세요."
childbirth,"출산; 분만","She had a difficult childbirth.","그녀는 힘든 출산을 했다."
chilly,"쌀쌀한; 냉담한","It's getting chilly, so you should wear a jacket.","쌀쌀해지고 있으니, 재킷을 입는 것이 좋겠어."
chore,"가사; 잡일","Washing the dishes is my least favorite chore.","설거지는 내가 가장 싫어하는 집안일이다."
choreography,"안무; 연출","The choreography for the musical was created by a famous dancer.","그 뮤지컬의 안무는 유명한 댄서에 의해 만들어졌다."
cigarette,"담배; 궐련","He decided to quit smoking cigarettes for his health.","그는 건강을 위해 담배를 끊기로 결심했다."
circuit,"순회; 회로;순회하다","An electrician is coming to check the electrical circuit.","전기 기사가 전기 회로를 점검하러 올 것이다."
citizenship,"시민권","After living there for ten years, she finally obtained citizenship.","그곳에서 10년을 산 후에, 그녀는 마침내 시민권을 취득했다."
claw,"(동물의) 발톱; 집게발","The cat left a scratch on the sofa with its claw.","고양이가 발톱으로 소파에 흠집을 남겼다."
clear,"분명한; 맑은;제거하다; 맑아 지다","The instructions were clear and easy to follow.;Can you clear the table for me?","설명은 분명하고 따르기 쉬웠다.;식탁 좀 치워줄 수 있니?"
clichéd,상투적인,"The movie's ending was very clichéd and predictable.","그 영화의 결말은 매우 상투적이고 예측 가능했다."
clown,"어릿광대;광대 짓을 하다","A clown at the party made all the children laugh.","파티에 온 어릿광대가 모든 아이들을 웃게 만들었다."
coast,해안,"We took a long drive along the beautiful coast.","우리는 아름다운 해안을 따라 길게 드라이브를 했다."
cognitive,"인식의; 인지의","Playing chess can help improve your cognitive skills.","체스를 두는 것은 당신의 인지 능력을 향상시키는 데 도움이 될 수 있다."
coherent,"일관성 있는; 조화로운; 응집성의","She presented a coherent argument that was easy to understand.","그녀는 이해하기 쉬운 일관성 있는 주장을 펼쳤다."
coincide,"동시에 일어나다; 일치하다; 만나다","His birthday coincides with a national holiday this year.","올해 그의 생일은 공휴일과 겹친다."
colleague,"(직장) 동료","I asked a colleague for help with the project.","나는 그 프로젝트에 대해 동료에게 도움을 요청했다."
college,"대학; 전문학교; 단과 대학","After graduating from high school, she plans to go to college.","고등학교를 졸업한 후, 그녀는 대학에 갈 계획이다."
combination,조합,"The combination of cheese and wine is a classic favorite.","치즈와 와인의 조합은 고전적으로 사랑받는다."
comedian,"희극 배우; 코미디언","The comedian's jokes had the audience laughing all night.","그 코미디언의 농담은 관객들을 밤새 웃게 만들었다."
commitment,"약속; 전념; 헌신","Marriage requires a serious commitment from both partners.","결혼은 두 파트너 모두에게 진지한 헌신을 요구한다."
communism,공산주의,"He wrote a book about the history of communism.","그는 공산주의의 역사에 관한 책을 썼다."
community,"공동체; 지역 사회; 집단; 공중","Volunteering is a great way to give back to your community.","자원봉사는 지역 사회에 환원하는 훌륭한 방법이다."
commute,"통근; 통학;통근하다","He has a long commute to work every day.","그는 매일 직장까지 긴 통근을 한다."
companion,"동반자; 동지","My dog is my most loyal companion.","나의 개는 나의 가장 충실한 동반자이다."
company,"동료; 일행; 회사;사귀다; 동행하다","He works for a large technology company.;I enjoy your company.","그는 큰 기술 회사에서 일한다.;나는 당신과 함께 있는 것이 즐겁습니다."
comparable,"비슷한; 비교할 만한","The quality of this product is comparable to that of more expensive brands.","이 제품의 품질은 더 비싼 브랜드의 것과 비슷하다."
compassion,"연민; 동정심","She showed great compassion for the homeless.","그녀는 노숙자들에게 큰 연민을 보였다."
competent,"유능한; 잘 하는; 충분히 자격이 있는","She is a highly competent and reliable employee.","그녀는 매우 유능하고 신뢰할 수 있는 직원이다."
completely,완전히; 전적으로,"I completely forgot about our meeting.","나는 우리 회의에 대해 완전히 잊어버렸다."
"composed of","~로 구성된","The team is composed of experts from various fields.","그 팀은 다양한 분야의 전문가들로 구성되어 있다."
comprehension,"이해력; 포함","Reading is a good way to improve your reading comprehension.","독서는 독해력을 향상시키는 좋은 방법이다."
compressed,"압축된; 간결한","He gave a compressed version of the long story.","그는 긴 이야기의 간결한 버전을 들려주었다."
compulsory,"의무적인; 필수의","In this country, education is compulsory until the age of 16.","이 나라에서는 16세까지 교육이 의무적이다."
concern,"우려; 관심;~에 관계가 있다; 중요하다; 걱정시키다","There is growing concern about the effects of climate change.;This matter is of great concern to me.","기후 변화의 영향에 대한 우려가 커지고 있다.;이 문제는 나에게 매우 중요하다."
concrete,"콘크리트;구체적인;콘크리트를 바르다","We need a concrete plan of action.","우리에게는 구체적인 행동 계획이 필요합니다."
confuse,혼란스럽게 만들다,"His complicated explanation only confused me more.","그의 복잡한 설명은 나를 더 혼란스럽게 만들 뿐이었다."
confusion,"혼란; 당황","There was some confusion about the time of the meeting.","회의 시간에 대해 약간의 혼란이 있었다."
connect,"연결하다; 관련짓다","You can connect to the internet using this password.","이 비밀번호를 사용하여 인터넷에 연결할 수 있습니다."
consecutive,"연속적인; 일관된","The team has won five consecutive games.","그 팀은 5경기 연속으로 이겼다."
consensus,"의견 일치; 합의","The committee reached a consensus after a long discussion.","위원회는 오랜 논의 끝에 합의에 이르렀다."
considerate,"이해심이 있는; 사려 깊은","It was very considerate of him to offer me his seat.","그가 나에게 자리를 양보한 것은 매우 사려 깊은 행동이었다."
consistently,"끊임없이; 일관되게","She consistently performs well under pressure.","그녀는 압박감 속에서도 꾸준히 좋은 성과를 낸다."
constant,"일정불변의 것; 상수;일정한; 지속적인","The only constant in life is change.","인생에서 유일하게 변하지 않는 것은 변화이다."
constituency,"선거구; 선거구민; 지지층","The politician promised to create more jobs for his constituency.","그 정치인은 자신의 선거구민들을 위해 더 많은 일자리를 창출하겠다고 약속했다."
constitutional,"헌법의; 구조상의","Freedom of speech is a constitutional right.","표현의 자유는 헌법상의 권리이다."
constraint,"강제; 압박; 제한; 어색함","We have to work within severe time constraints.","우리는 심각한 시간 제약 안에서 일해야 한다."
consumption,"섭취; 소비; 소모","The government is trying to reduce energy consumption.","정부는 에너지 소비를 줄이려고 노력하고 있다."
contender,"도전자; 경쟁자","She is a serious contender for the gold medal.","그녀는 금메달을 노리는 강력한 도전자이다."
contentedly,만족스럽게,"He sighed contentedly after finishing the delicious meal.","그는 맛있는 식사를 마친 후 만족스럽게 한숨을 쉬었다."
continually,"계속해서; 끊임없이","The baby cried continually throughout the night.","아기는 밤새도록 계속해서 울었다."
contraceptive,"피임약; 피임기구;피임의","There are various contraceptive options available today.","오늘날에는 다양한 피임 방법이 있다."
contradictive,"모순되는; 모순이 있는","The witness's statements were contradictive and unreliable.","그 증인의 진술은 모순되고 신뢰할 수 없었다."
contradictory,"모순된; 반박의","The two reports contained contradictory information.","두 보고서에는 모순된 정보가 포함되어 있었다."
contribute,"기부하다; 기여하다","Would you like to contribute to our charity fund?","우리 자선 기금에 기부하시겠습니까?"
controversial,"논란이 있는; 논쟁을 좋아하는","The film is about a controversial political figure.","그 영화는 논란이 많은 정치 인물에 관한 것이다."
conversation,"대화; 회화","She was engaged in a deep conversation with her friend.","그녀는 친구와 깊은 대화를 나누고 있었다."
coordinate,"동등한 사람; 좌표;동등한;조정하다","We need to coordinate our schedules for the trip.","우리는 여행을 위해 일정을 조정해야 한다."
core,"핵심; 중심핵;중심부에서 잘라내다;핵심의","The core of the issue is a lack of funding.","문제의 핵심은 자금 부족이다."
corporation,"법인; 단체; 기업","She works for a large multinational corporation.","그녀는 대규모 다국적 기업에서 일한다."
corrosive,"부식성의; 좀먹는","Be careful, as this chemical is highly corrosive.","이 화학물질은 부식성이 강하니 조심하세요."
cosmology,우주론,"Cosmology is the study of the universe's origins and structure.","우주론은 우주의 기원과 구조를 연구하는 학문이다."
costly,"돈이 많이 드는; 손실이 큰; 낭비하는","The legal battle proved to be very costly for the company.","그 법적 다툼은 회사에 매우 큰 손실을 입혔다."
county,자치주,"He lives in a rural county far from the city.","그는 도시에서 멀리 떨어진 시골의 한 자치주에 산다."
courageous,용감한,"The courageous act of the firefighter saved many lives.","그 소방관의 용감한 행동은 많은 생명을 구했다."
coursework,"수업 활동","Your final grade will be based on exams and coursework.","최종 성적은 시험과 수업 활동을 바탕으로 합니다."
cover,"덮개; 표지;덮다; 미치다; 포함하다","Please cover the food to keep it fresh.","음식을 신선하게 유지하기 위해 덮어주세요."
