word,meaning,sentence,sentence_translation
arouse,자극하다,"The strange noise aroused my curiosity.","그 이상한 소리는 나의 호기심을 자극했습니다."
arrangement,"배열; 준비","She made all the travel arrangements for our trip.","그녀가 우리 여행을 위한 모든 여행 준비를 했습니다."
aside,"옆에; 따로","He pulled me aside to tell me a secret.","그는 비밀을 말해주기 위해 나를 옆으로 불렀습니다."
aspiration,열망,"He has aspirations to become a professional musician.","그는 전문 음악가가 되려는 열망을 가지고 있습니다."
aspirin,아스피린,"I took an aspirin to relieve my headache.","나는 두통을 완화하기 위해 아스피린을 먹었습니다."
assert,주장하다,"He asserted his innocence in front of the jury.","그는 배심원단 앞에서 자신의 무죄를 주장했습니다."
assess,평가하다,"We need to assess the damage caused by the storm.","우리는 폭풍으로 인한 피해를 평가해야 합니다."
assistant,"조수; 보조","She works as a personal assistant to the CEO.","그녀는 CEO의 개인 비서로 일합니다."
assume,"가정하다 / 맡다","I assume you know why you are here.","당신이 왜 여기에 있는지 안다고 가정하겠습니다."
assumed,"추정된; 가장된","He used an assumed name to hide his identity.","그는 자신의 신분을 숨기기 위해 가명을 사용했습니다."
assumption,"가정; 추정","Your argument is based on a false assumption.","당신의 주장은 잘못된 가정에 근거하고 있습니다."
assure,확신시키다,"I can assure you that you are safe here.","당신이 여기서 안전하다는 것을 제가 확신시켜 드릴 수 있습니다."
astonished,깜짝 놀란,"I was astonished to hear that he had won the lottery.","나는 그가 복권에 당첨되었다는 소식을 듣고 깜짝 놀랐습니다."
astonishing,놀라운,"She has an astonishing ability to remember names.","그녀는 이름을 기억하는 놀라운 능력을 가지고 있습니다."
attached,"붙어 있는 / 애착을 가진","Please find the document attached to this email.","이 이메일에 첨부된 문서를 확인해 주세요."
attempt,시도하다,"He will attempt to break the world record.","그는 세계 기록을 깨려고 시도할 것입니다."
babysit,아이를 돌보다,"Can you babysit for us on Friday night?","금요일 밤에 우리 아이들 좀 봐줄 수 있나요?"
balanced,균형 잡힌,"A balanced diet is important for good health.","균형 잡힌 식단은 건강에 중요합니다."
balloon,풍선,"The child was holding a red balloon.","아이가 빨간 풍선을 들고 있었습니다."
barely,"거의 ~않다 / 간신히","I could barely see him in the dark.","나는 어둠 속에서 그를 간신히 볼 수 있었습니다."
barn,헛간,"The farmer stores hay in the barn.","농부는 헛간에 건초를 저장합니다."
bartender,바텐더,"The bartender mixed a delicious cocktail.","바텐더가 맛있는 칵테일을 만들었습니다."
basement,지하실,"We converted our basement into a playroom.","우리는 지하실을 놀이방으로 개조했습니다."
behalf,"~을 대신하여","She accepted the award on behalf of her team.","그녀는 팀을 대신하여 상을 받았습니다."
belief,"믿음; 신념","She has a strong belief in herself.","그녀는 자신에 대한 강한 믿음을 가지고 있습니다."
benefit,"이익; 혜택","What are the benefits of regular exercise?","규칙적인 운동의 이점은 무엇인가요?"
beware,조심하다,"Beware of the dog; it might bite.","개를 조심하세요. 물릴 수도 있습니다."
bias,편견,"The article showed a clear bias against the new policy.","그 기사는 새로운 정책에 대한 명백한 편견을 보여주었습니다."
bid,입찰하다,"He bid $100 for the antique vase at the auction.","그는 경매에서 그 골동품 화병에 100달러를 입찰했습니다."
bilingual,2개 언어를 구사하는,"She is bilingual in English and Spanish.","그녀는 영어와 스페인어 2개 국어를 구사합니다."
bind,"묶다 / 결속시키다","The story is about the strong ties that bind a family together.","그 이야기는 가족을 하나로 묶는 강한 유대에 관한 것입니다."
blackmail,협박,"He was a victim of blackmail.","그는 협박의 희생자였습니다."
blame,비난하다,"Don't blame me for your mistakes.","너의 실수를 나에게 탓하지 마."
bland,"싱거운 / 밋밋한","The soup was bland and needed more salt.","수프는 싱거워서 소금이 더 필요했습니다."
bleak,"암울한; 황량한","The future looked bleak for the small town after the factory closed.","공장이 문을 닫은 후 그 작은 마을의 미래는 암울해 보였습니다."
blink,눈을 깜빡이다,"He didn't even blink when he heard the loud noise.","그는 큰 소리를 듣고도 눈도 깜빡하지 않았습니다."
bomb,폭탄,"The bomb exploded, causing massive damage.","폭탄이 폭발하여 막대한 피해를 입혔습니다."
booklet,소책자,"The booklet provides information about the museum.","그 소책자는 박물관에 대한 정보를 제공합니다."
bothered,"괴로운; 신경 쓰이는","She wasn't bothered by the noise outside.","그녀는 바깥의 소음에 신경 쓰지 않았습니다."
bracket,"괄호 / 받침대","Please put the words in brackets.","그 단어들을 괄호 안에 넣어 주세요."
breast,가슴,"Breast cancer is a common disease among women.","유방암은 여성들에게 흔한 질병입니다."
breath,숨,"Take a deep breath and relax.","숨을 깊이 들이쉬고 긴장을 푸세요."
bride,신부,"The bride looked beautiful in her white dress.","신부는 흰 드레스를 입고 아름다워 보였습니다."
broadly,널리; 대체로,"Broadly speaking, the new plan is a good one.","대체로 말해서, 새로운 계획은 좋은 것입니다."
browse,"둘러보다 / 검색하다","I was just browsing in the bookstore.","저는 그냥 서점에서 책을 둘러보고 있었어요."
bubble,거품,"The children were blowing bubbles in the park.","아이들이 공원에서 거품을 불고 있었습니다."
bull,황소,"The bull charged at the matador.","황소가 투우사에게 돌진했습니다."
bunch,"다발; 무리","She bought a beautiful bunch of flowers.","그녀는 아름다운 꽃다발을 샀습니다."
burial,매장,"The burial service will be held tomorrow.","매장 예식은 내일 열릴 것입니다."
bury,묻다,"They will bury the treasure in a secret location.","그들은 보물을 비밀 장소에 묻을 것입니다."
cabin,"오두막 / 선실","We rented a small cabin in the woods for our vacation.","우리는 휴가를 위해 숲속의 작은 오두막을 빌렸습니다."
campaign,"캠페인; 운동","The company launched a new advertising campaign.","그 회사는 새로운 광고 캠페인을 시작했습니다."
cancellation,취소,"We received a cancellation notice for our flight.","우리는 비행기 취소 통지를 받았습니다."
capability,능력,"She has the capability to become a great leader.","그녀는 훌륭한 지도자가 될 능력을 가지고 있습니다."
capture,포획하다,"The photographer managed to capture the beautiful sunset.","사진작가는 아름다운 일몰을 포착하는 데 성공했습니다."
cargo,화물,"The ship was carrying a large cargo of grain.","그 배는 많은 곡물 화물을 싣고 있었습니다."
cast,"던지다 / 배역을 맡기다","The actor was cast as the main character in the play.","그 배우는 연극의 주인공으로 캐스팅되었습니다."
celebration,축하; 기념,"We are having a big celebration for his birthday.","우리는 그의 생일을 위해 큰 축하 행사를 가질 예정입니다."
central,"중심의; 중요한","The central theme of the novel is love.","그 소설의 중심 주제는 사랑입니다."
chapel,예배당,"The small chapel is a popular place for weddings.","그 작은 예배당은 결혼식 장소로 인기가 있습니다."
charge,"요금 / 고소하다","What is the charge for a one-night stay at the hotel?","그 호텔의 1박 요금은 얼마인가요?"
charity,자선,"He donates a lot of money to charity every year.","그는 매년 많은 돈을 자선 단체에 기부합니다."
chatty,수다스러운,"My chatty neighbor always wants to talk.","수다스러운 내 이웃은 항상 이야기하고 싶어 합니다."
chew,씹다,"You should chew your food slowly.","음식은 천천히 씹어야 합니다."
chili,"고추 / 칠리","I like to add chili to my food to make it spicy.","나는 음식을 맵게 만들기 위해 고추를 넣는 것을 좋아합니다."
chore,집안일,"Doing the dishes is my least favorite chore.","설거지는 내가 가장 싫어하는 집안일입니다."
cigar,시가,"He enjoys smoking a cigar after dinner.","그는 저녁 식사 후에 시가를 피우는 것을 즐깁니다."
civil,"시민의 / 민간의","He is a strong advocate for civil rights.","그는 시민권의 강력한 옹호자입니다."
clap,박수치다,"The audience clapped loudly after the performance.","관객들은 공연 후에 큰 박수를 쳤습니다."
clarify,명확히 하다,"Could you please clarify what you mean?","무슨 뜻인지 명확히 해주시겠어요?"
clarity,명확성,"The clarity of the water in the lake was amazing.","호수 물의 맑음은 놀라웠습니다."
classify,분류하다,"The librarian will classify the new books.","사서는 새 책들을 분류할 것입니다."
cliff,절벽,"The view from the top of the cliff was breathtaking.","절벽 꼭대기에서 본 경치는 숨이 멎을 듯했습니다."
cling,달라붙다,"The wet clothes were clinging to his body.","젖은 옷이 그의 몸에 달라붙어 있었습니다."
closure,폐쇄,"The factory closure left many people unemployed.","공장 폐쇄로 많은 사람들이 실직했습니다."
clutch,"꽉 잡다 / 클러치","She clutched her bag tightly.","그녀는 가방을 꽉 쥐었습니다."
coastline,해안선,"The country has a long and beautiful coastline.","그 나라는 길고 아름다운 해안선을 가지고 있습니다."
coherent,"일관된; 조리 있는","She presented a coherent argument that was easy to follow.","그녀는 따라가기 쉬운 일관된 주장을 제시했습니다."
collapse,붕괴하다,"The old building collapsed during the earthquake.","오래된 건물이 지진 중에 붕괴되었습니다."
comeback,재기,"The singer is planning a comeback after a long break.","그 가수는 오랜 휴식 끝에 재기를 계획하고 있습니다."
comedian,코미디언,"The comedian made the audience laugh with his jokes.","코미디언은 농담으로 관객들을 웃게 만들었습니다."
commitment,"헌신; 약속","Marriage is a lifelong commitment.","결혼은 평생의 약속입니다."
committed,"헌신적인 / 전념한","She is a committed teacher who cares deeply about her students.","그녀는 학생들을 깊이 아끼는 헌신적인 선생님입니다."
commute,통근하다,"He has a long commute to work every day.","그는 매일 직장까지 긴 통근을 합니다."
companion,동반자; 친구","My dog is my most loyal companion.","내 개는 나의 가장 충실한 동반자입니다."
comparable,비교할 만한,"The two cars are comparable in price and quality.","두 자동차는 가격과 품질 면에서 비교할 만합니다."
comparatively,비교적,"The new model is comparatively expensive.","새 모델은 비교적 비쌉니다."
compare,비교하다,"Let's compare the prices of the two products.","두 제품의 가격을 비교해 봅시다."
comparison,비교,"In comparison to last year, our sales have increased.","작년과 비교하여, 우리 매출은 증가했습니다."
completely,완전히,"I am completely exhausted after a long day at work.","직장에서 긴 하루를 보낸 후 완전히 지쳤습니다."
complexity,복잡성,"The complexity of the problem makes it difficult to solve.","문제의 복잡성 때문에 해결하기가 어렵습니다."
composer,작곡가,"Mozart is one of the most famous composers in history.","모차르트는 역사상 가장 유명한 작곡가 중 한 명입니다."
composition,"구성 / 작문 / 작곡","The composition of the painting is very balanced.","그 그림의 구성은 매우 균형이 잘 잡혀 있습니다."
conceive,"상상하다 / 임신하다","It is difficult to conceive of a world without technology.","기술이 없는 세상을 상상하기는 어렵습니다."
concentration,집중,"This task requires a lot of concentration.","이 과제는 많은 집중력을 요구합니다."
conclusive,결정적인,"The DNA test provided conclusive evidence of his guilt.","DNA 검사는 그의 유죄에 대한 결정적인 증거를 제공했습니다."
condemn,"비난하다 / 유죄 판결하다","The international community condemned the act of violence.","국제 사회는 그 폭력 행위를 비난했습니다."
confine,"제한하다 / 가두다","He was confined to a wheelchair after the accident.","그는 사고 후에 휠체어에 갇히게 되었습니다."
confirm,확인하다,"Please confirm your reservation by email.","이메일로 예약을 확인해 주세요."
confusing,혼란스러운,"The instructions were confusing and difficult to understand.","지침은 혼란스럽고 이해하기 어려웠습니다."
congratulate,축하하다,"I would like to congratulate you on your graduation.","졸업을 축하합니다."
considerable,상당한,"The project required a considerable amount of time and effort.","그 프로젝트는 상당한 시간과 노력을 필요로 했습니다."
constrain,제한하다,"We are constrained by a limited budget.","우리는 한정된 예산에 제약을 받습니다."
constraint,제약,"Time is a major constraint in this project.","시간은 이 프로젝트의 주요 제약 조건입니다."
construct,건설하다,"They are planning to construct a new bridge.","그들은 새 다리를 건설할 계획입니다."
consultation,상담; 협의,"He made the decision after consultation with his family.","그는 가족과 상의한 후에 결정을 내렸습니다."
consume,소비하다,"This car consumes a lot of fuel.","이 차는 연료를 많이 소비합니다."
context,문맥; 상황","You need to understand the context to interpret the meaning.","의미를 해석하려면 문맥을 이해해야 합니다."
continual,계속적인,"The continual noise from the street was very distracting.","거리에서 나는 계속적인 소음은 매우 산만했습니다."
contract,계약,"Please read the contract carefully before signing it.","서명하기 전에 계약서를 주의 깊게 읽어주세요."
contradict,반박하다,"The evidence seems to contradict his statement.","증거는 그의 진술과 모순되는 것 같습니다."
contribute,기여하다,"Everyone is encouraged to contribute their ideas.","모든 사람이 자신의 아이디어를 기여하도록 권장됩니다."
convict,"유죄 판결하다 / 죄수","He was convicted of theft and sentenced to two years in prison.","그는 절도 혐의로 유죄 판결을 받고 2년의 징역형을 선고받았습니다."
convinced,확신하는,"I am convinced that he is telling the truth.","저는 그가 진실을 말하고 있다고 확신합니다."
convincing,설득력 있는,"She gave a very convincing argument.","그녀는 매우 설득력 있는 주장을 했습니다."
corporation,"기업; 법인","She works for a large multinational corporation.","그녀는 대규모 다국적 기업에서 일합니다."
costume,의상,"The actors were wearing beautiful historical costumes.","배우들은 아름다운 시대 의상을 입고 있었습니다."
counselor,"상담사 / 조언자","He sought help from a marriage counselor.","그는 결혼 상담사에게 도움을 구했습니다."
counter,"반박하다 / 계산대","The new evidence counters the previous theory.","새로운 증거는 이전 이론을 반박합니다."
courageous,용감한,"The courageous firefighter saved the family from the burning house.","용감한 소방관이 불타는 집에서 가족을 구출했습니다."
courtesy,예의,"He always treats everyone with courtesy and respect.","그는 항상 모든 사람을 예의와 존중으로 대합니다."
crackdown,단속,"The police have launched a crackdown on illegal parking.","경찰은 불법 주차에 대한 단속에 착수했습니다."
creatively,창의적으로,"She always approaches problems creatively.","그녀는 항상 문제에 창의적으로 접근합니다."
creature,생물,"Many strange and wonderful creatures live in the deep sea.","깊은 바다에는 많은 이상하고 멋진 생물들이 삽니다."
credibility,신뢰성,"The scandal has damaged the politician's credibility.","그 스캔들은 그 정치인의 신뢰성을 훼손했습니다."
crew,"승무원; 팀","The flight crew prepared the plane for takeoff.","비행 승무원들이 이륙을 위해 비행기를 준비했습니다."
crisp,"바삭한 / 상쾌한","I love the crisp sound of leaves in the autumn.","저는 가을에 낙엽이 바삭거리는 소리를 좋아합니다."
criticism,비판,"He is not very good at accepting criticism.","그는 비판을 잘 받아들이지 못합니다."
criticize,비판하다,"It is easy to criticize, but harder to offer a solution.","비판하기는 쉽지만, 해결책을 제시하기는 더 어렵습니다."
cruise,유람선 여행하다,"We went on a cruise to the Caribbean last year.","우리는 작년에 카리브해로 크루즈 여행을 갔습니다."
curiously,호기심 있게,"The cat looked curiously at the new toy.","고양이가 새 장난감을 호기심 있게 쳐다보았습니다."
current,"현재의 / 흐름","What is the current exchange rate?","현재 환율은 얼마인가요?"
curve,곡선,"The road has a sharp curve ahead.","도로 앞쪽에 급커브가 있습니다."
custody,"양육권 / 구금","The mother was granted custody of the children.","어머니는 아이들의 양육권을 받았습니다."
cutback,삭감,"The company announced a cutback in its workforce.","회사는 인력 감축을 발표했습니다."
damp,축축한,"The basement was damp and cold.","지하실은 축축하고 추웠습니다."
dazzled,눈부신 / 놀란,"I was dazzled by the bright lights of the city.","나는 도시의 밝은 불빛에 눈이 부셨습니다."
dazzling,"눈부신 / 화려한","She wore a dazzling diamond necklace.","그녀는 눈부신 다이아몬드 목걸이를 하고 있었습니다."
dealer,상인,"He is a well-known art dealer.","그는 잘 알려진 미술상입니다."
debut,데뷔,"The young actress made her debut in a new movie.","젊은 여배우가 새 영화로 데뷔했습니다."
deception,속임수,"The advertisement was a clever deception.","그 광고는 교묘한 속임수였습니다."
decisively,단호하게,"She acted decisively to solve the problem.","그녀는 문제를 해결하기 위해 단호하게 행동했습니다."
declare,선언하다,"The country declared its independence.","그 나라는 독립을 선언했습니다."
decorate,장식하다,"We will decorate the house for the party.","우리는 파티를 위해 집을 장식할 것입니다."
dedicate,"헌신하다 / 바치다","She dedicates her life to helping others.","그녀는 다른 사람들을 돕는 데 평생을 바칩니다."
defect,결함,"There is a small defect in the product.","그 제품에는 작은 결함이 있습니다."
defective,결함이 있는,"The company recalled the defective products.","회사는 결함이 있는 제품을 리콜했습니다."
defend,방어하다,"The soldiers defended the castle from the enemy.","군인들은 적으로부터 성을 방어했습니다."
defender,"수비수 / 옹호자","He is one of the best defenders in the league.","그는 리그 최고의 수비수 중 한 명입니다."
defensive,방어적인,"He became defensive when asked about his mistakes.","그는 자신의 실수에 대해 질문을 받자 방어적이 되었습니다."
delegation,대표단,"A delegation from Japan visited our company.","일본에서 온 대표단이 우리 회사를 방문했습니다."
delicate,섬세한 / 연약한","The old vase is very delicate and should be handled with care.","그 오래된 꽃병은 매우 섬세해서 조심해서 다루어야 합니다."
demanding,"요구가 많은","Teaching can be a very demanding job.","가르치는 것은 매우 힘든 일일 수 있습니다."
demands,요구들,"The workers' demands for higher wages were met.","더 높은 임금을 요구하는 노동자들의 요구는 충족되었습니다."
demolish,철거하다,"They plan to demolish the old building.","그들은 오래된 건물을 철거할 계획입니다."
demonstrate,"보여주다 / 시위하다","The teacher will demonstrate how to do the experiment.","선생님은 실험하는 방법을 보여줄 것입니다."
dental,치과의,"You should have a regular dental check-up.","정기적인 치과 검진을 받아야 합니다."
depict,묘사하다,"The painting depicts a beautiful landscape.","그 그림은 아름다운 풍경을 묘사하고 있습니다."
deprive,빼앗다,"The new law will deprive many people of their rights.","새로운 법은 많은 사람들의 권리를 박탈할 것입니다."
derive,얻다 / 유래하다,"Many English words are derived from Latin.","많은 영어 단어는 라틴어에서 유래했습니다."
deserted,"버려진 / 사람이 없는","The streets were deserted late at night.","밤늦게 거리는 텅 비어 있었습니다."
deserve,~을 받을 만하다,"You deserve a reward for all your hard work.","당신은 모든 노력에 대한 보상을 받을 자격이 있습니다."
despair,절망,"She was filled with despair when she lost her job.","그녀는 직장을 잃었을 때 절망에 빠졌습니다."
detailed,상세한,"Please provide a detailed report of the incident.","사건에 대한 상세한 보고서를 제출해 주세요."
detective,탐정,"The detective is investigating the mysterious case.","탐정이 그 미스터리한 사건을 조사하고 있습니다."
determination,결심; 결단력,"With determination, you can achieve anything.","결단력이 있다면, 무엇이든 이룰 수 있습니다."
determined,단호한; 결심한","She is determined to succeed in her career.","그녀는 자신의 경력에서 성공하기로 굳게 결심했습니다."
development,발전; 개발,"The city has seen rapid economic development in recent years.","그 도시는 최근 몇 년 동안 급속한 경제 발전을 이루었습니다."
device,장치,"A smartphone is a very useful device.","스마트폰은 매우 유용한 장치입니다."
devil,악마,"The story is about a man who sells his soul to the devil.","그 이야기는 악마에게 영혼을 파는 한 남자에 관한 것입니다."
devoted,헌신적인,"She is a devoted mother to her children.","그녀는 자녀들에게 헌신적인 어머니입니다."
diamond,다이아몬드,"She wore a beautiful diamond ring.","그녀는 아름다운 다이아몬드 반지를 끼고 있었습니다."
diesel,디젤,"Many trucks and buses run on diesel fuel.","많은 트럭과 버스는 디젤 연료로 운행됩니다."
digest,소화하다,"It takes a few hours for your stomach to digest a meal.","위가 식사를 소화하는 데는 몇 시간이 걸립니다."
digestion,소화,"Eating slowly can help with your digestion.","천천히 먹는 것은 소화에 도움이 될 수 있습니다."
dip,"담그다 / 찍다","She likes to dip her chips in salsa.","그녀는 칩을 살사에 찍어 먹는 것을 좋아합니다."
diplomacy,외교,"The conflict was resolved through careful diplomacy.","그 갈등은 신중한 외교를 통해 해결되었습니다."
director,"감독 / 이사","The director of the film is famous for his creative vision.","그 영화의 감독은 창의적인 비전으로 유명합니다."
dirt,"흙 / 먼지","The kids were covered in dirt after playing outside.","아이들은 밖에서 놀고 나서 흙투성이가 되었습니다."
disabled,장애가 있는,"The new building has ramps for disabled access.","새 건물에는 장애인 접근을 위한 경사로가 있습니다."
disadvantaged,사회적 약자의,"The organization provides support for disadvantaged youth.","그 단체는 소외된 청소년들을 위한 지원을 제공합니다."
disagreement,의견 충돌,"There was a disagreement about the best way to proceed.","가장 좋은 진행 방법에 대해 의견 충돌이 있었습니다."
disappearance,실종,"The police are investigating the mysterious disappearance of the valuable painting.","경찰은 그 귀중한 그림의 미스터리한 실종을 수사하고 있습니다."
disappointing,실망스러운,"The team's performance in the final game was disappointing.","결승전에서 팀의 경기력은 실망스러웠습니다."
disapproval,"반대; 불찬성","He could see the disapproval in his father's eyes.","그는 아버지의 눈에서 불만을 읽을 수 있었습니다."
disclosure,"공개; 폭로","The company was required to make a full disclosure of its financial records.","그 회사는 재무 기록을 완전히 공개해야 했습니다."
disgrace,"불명예; 수치","His actions brought disgrace upon his family.","그의 행동은 그의 가족에게 불명예를 안겨주었습니다."
disguise,변장하다,"He tried to disguise himself by wearing a wig and sunglasses.","그는 가발과 선글라스를 착용하여 자신을 변장하려고 했습니다."
disgusted,"역겨운; 혐오스러운","She was disgusted by the sight of the dirty kitchen.","그녀는 더러운 부엌을 보고 역겨움을 느꼈습니다."
disloyal,불충실한,"He felt betrayed by his disloyal friend.","그는 불충실한 친구에게 배신감을 느꼈습니다."
dismiss,"해고하다 / 무시하다","The manager had to dismiss an employee for poor performance.","관리자는 실적이 부진한 직원을 해고해야 했습니다."
disposable,일회용의,"We used disposable plates and cutlery at the picnic.","우리는 소풍에서 일회용 접시와 식기를 사용했습니다."
dispute,"분쟁; 논쟁","The two countries have a long-standing dispute over the border.","두 나라는 국경을 두고 오랜 분쟁을 벌이고 있습니다."
dissolve,"녹이다 / 해산하다","Sugar will dissolve quickly in hot water.","설탕은 뜨거운 물에 빨리 녹을 것입니다."
distinction,"차이 / 뛰어남","There's a clear distinction between being confident and being arrogant.","자신감 있는 것과 오만한 것 사이에는 명확한 차이가 있습니다."
distinctive,독특한,"She has a very distinctive voice.","그녀는 매우 독특한 목소리를 가지고 있습니다."
distort,왜곡하다,"The media can sometimes distort the truth to make a story more sensational.","언론은 이야기를 더 선정적으로 만들기 위해 때때로 진실을 왜곡할 수 있습니다."
distract,산만하게 하다,"The loud music distracted me from my work.","시끄러운 음악이 내 일을 방해했다."
distribution,"분배; 유통","The company is responsible for the distribution of the products.","그 회사는 제품의 유통을 책임지고 있다."
disturbing,불안하게 하는,"The news report contained some disturbing images.","그 뉴스 보도에는 일부 불안한 이미지들이 포함되어 있었다."
diverse,다양한,"The city has a diverse population with people from all over the world.","그 도시는 전 세계에서 온 사람들로 구성된 다양한 인구를 가지고 있다."
dominate,지배하다,"The team dominated the game from the very beginning.","그 팀은 경기 초반부터 경기를 지배했다."
doom,파멸,"The company's financial problems led to its eventual doom.","회사의 재정 문제는 결국 파멸로 이어졌다."
downhill,내리막의,"It's easier to ride a bike downhill than uphill.","오르막보다 내리막으로 자전거를 타는 것이 더 쉽다."
downward,아래로의,"The path has a steep downward slope.","그 길은 가파른 아래쪽 경사를 가지고 있다."
dwell,"살다; 곰곰이 생각하다","It is not good to dwell on past mistakes.","과거의 실수에 대해 곰곰이 생각하는 것은 좋지 않다."
earthquake,지진,"The earthquake caused widespread damage to the city.","지진은 도시에 광범위한 피해를 입혔다."
eastern,동쪽의,"We visited the eastern coast of the country.","우리는 그 나라의 동쪽 해안을 방문했다."
economist,경제학자,"An economist predicts a slow recovery for the economy.","한 경제학자는 경제가 더디게 회복될 것이라고 예측한다."
elapse,경과하다,"Several hours had elapsed before he returned.","그가 돌아오기까지 몇 시간이 지났다."
eldest,가장 나이 많은,"She is the eldest of the three siblings.","그녀는 세 남매 중 맏이이다."
