word,meaning,sentence,sentence_translation
stormy,"폭풍우가 몰아치는","The sea looks stormy in the photo.","사진 속 바다는 폭풍우가 몰아치고 있다."
chilly,"쌀쌀한; 추운","People are wearing coats on a chilly morning in the photo.","사진 속 사람들은 쌀쌀한 아침에 코트를 입고 있다."
agreeable,"쾌적한; 기분 좋은","The garden looks agreeable in the sunlight.","정원은 햇살 아래 쾌적해 보인다."
balmy,"따뜻하고 상쾌한","It was a balmy evening in the photo.","사진은 따뜻하고 상쾌한 저녁을 담고 있다."
in the morning,"아침에","The photo was taken in the morning with soft light.","사진은 아침의 부드러운 빛 속에서 찍혔다."
at sunrise,"일출 때","The picture captures the sky at sunrise.","사진은 일출의 하늘을 담았다."
in the afternoon,"오후에","This photo shows a busy street in the afternoon.","사진은 오후의 번화한 거리를 보여준다."
in the evening,"저녁에","The photo was taken in the evening near the river.","사진은 저녁 무렵 강가에서 찍혔다."
at sunset,"일몰 때","The picture shows the sky glowing at sunset.","사진은 일몰에 붉게 물든 하늘을 담고 있다."
at night,"밤에","The city looks bright at night in the photo.","사진 속 도시는 밤에 밝게 빛나고 있다."
partially cloudy,"약간 구름이 낀","The photo shows a partially cloudy sky over the lake.","사진은 호수 위 약간 구름 낀 하늘을 보여준다."
peaceful,"평화로운; 고요한","The village looks peaceful in the picture.","사진 속 마을은 평화로워 보인다."
hectic,"정신없이 바쁜; 혼잡한","The street market looks hectic with people.","사진 속 시장은 사람들로 정신없이 붐빈다."
solemn,"엄숙한; 장엄한","The church looks solemn in the photo.","사진 속 교회는 엄숙해 보인다."
warm,"따뜻한","The photo shows a family in a warm living room.","사진은 따뜻한 거실에 있는 가족을 보여준다."
eerie,"으스스한; 섬뜩한","The abandoned house looks eerie in the photo.","사진 속 버려진 집은 으스스해 보인다."
tense,"긴장된","The two players look tense before the match in the photo.","사진 속 두 선수는 경기 전 긴장된 모습이다."
cozy,"아늑한; 편안한","The room looks cozy with soft lighting.","사진 속 방은 은은한 조명으로 아늑해 보인다."
This image is a wide shot of,"넓게 펼쳐진 풍경 사진","This image is a wide shot of the mountains.","이 사진은 산이 넓게 펼쳐진 사진이다."
A photo is a close up of,"확대된 사진","A photo is a close up of a flower.","이 사진은 꽃을 확대해 찍은 것이다."
This is a black and white image of,"흑백 사진","This is a black and white image of a street.","이것은 거리의 흑백 사진이다."
The focal point of the image is, "사진의 초점은 ___이다.","The focal point of the image is the bridge.","사진의 초점은 다리이다."
futuristic,"미래지향적인","The building in the photo looks futuristic.","사진 속 건물은 미래지향적으로 보인다."
classical,"고전적인; 오래된 양식의","The city has many classical buildings in the photo.","사진 속 도시는 고전적인 건물이 많다."
functional,"실용적인","The room looks functional with simple furniture.","사진 속 방은 단순한 가구로 실용적으로 보인다."
plain,"꾸밈없는; 단순한","The wall looks plain in the photo.","사진 속 벽은 꾸밈없이 단순하다."
ornate,"화려하게 장식된","The gate looks ornate with detailed patterns.","사진 속 문은 화려한 무늬로 장식되어 있다."
brutalist,"브루탈리즘 양식의; 콘크리트 위주의","The library looks brutalist with its concrete design.","사진 속 도서관은 콘크리트 디자인의 브루탈리즘 양식으로 보인다."
"This photo appears to have been taken ~","~인 것처럼 보이는 사진","This photo appears to have been taken in the morning.","이 사진은 아침에 찍힌 것처럼 보입니다."
"The weather in this picture is ~","사진 속 날씨를 표현할 때 사용하는 문장","The weather in this picture is sunny and bright.","이 사진 속 날씨는 맑고 밝습니다."
"He has a ~ expression.","~한 표정을 짓고 있다","He has a happy expression.","그는 행복한 표정을 짓고 있습니다."
"His body language suggests that he ~","그의 몸짓/행동이 ~임을 나타내다","His body language suggests that he is confident.","그의 몸짓 언어는 그가 자신감 있다는 것을 보여줍니다."
"The atmosphere of the photo is ~","사진 속 분위기를 설명할 때 쓰는 문장","The atmosphere of the photo is peaceful.","사진의 분위기는 평화롭습니다."
schedule,일정; 시간표,"I checked my class schedule for next week.","저는 다음 주 수업 일정을 확인했습니다."
assignment,과제,"I have an assignment due in my biology class.","저는 생물학 수업에서 제출해야 하는 과제가 있습니다."
lecture,강의,"The lecture on economics was very informative.","경제학 강의는 매우 유익했습니다."
exam,시험,"I studied all week for the chemistry exam.","화학 시험을 위해 일주일 내내 공부했습니다."
professor,교수님,"The professor explained the topic clearly.","교수님은 그 주제를 명확하게 설명하셨습니다."
campus,캠퍼스,"The campus is large and has many facilities.","캠퍼스는 넓고 시설이 많습니다."
library,도서관,"I often study in the library after classes.","저는 수업 후에 도서관에서 자주 공부합니다."
dormitory,기숙사,"I live in the dormitory with two roommates.","저는 두 명의 룸메이트와 함께 기숙사에 살고 있습니다."
major,전공,"My major is computer science.","저의 전공은 컴퓨터공학입니다."
minor,부전공,"I am pursuing a minor in economics.","저는 경제학 부전공을 하고 있습니다."
seminar,세미나,"We attended a seminar on environmental science.","우리는 환경과학 세미나에 참석했습니다."
deadline,마감일,"The deadline for the essay is next Monday.","에세이 마감일은 다음 주 월요일입니다."
scholarship,장학금,"She received a scholarship for academic excellence.","그녀는 학업 우수로 장학금을 받았습니다."
internship,인턴십,"I got an internship at a software company this summer.","저는 이번 여름에 소프트웨어 회사에서 인턴십을 하게 되었습니다."
course,과목,"I am taking five courses this semester.","이번 학기에 다섯 과목을 수강하고 있습니다."
study group,스터디 그룹,"I joined a study group to prepare for the exam.","시험 준비를 위해 스터디 그룹에 참여했습니다."
campus club,동아리,"I joined a photography campus club.","저는 사진 동아리에 가입했습니다."
attendance,출석,"Attendance is required in this course.","이 과목은 출석이 필수입니다."
presentation,발표,"I have a presentation in my history class today.","오늘 역사 수업에서 발표가 있습니다."
faculty,교직원,"The faculty is very supportive of students.","교직원은 학생들을 매우 지원합니다."
orientation,오리엔테이션,"Orientation helps new students get familiar with the campus.","오리엔테이션은 신입생이 캠퍼스를 익히는 데 도움을 줍니다."
academic integrity,학문적 성실성,"Academic integrity is essential for all students.","학문적 성실성은 모든 학생에게 필수적입니다."
curriculum,교육과정,"The curriculum is updated every year.","교육과정은 매년 업데이트됩니다."
course registration,수강 신청,"Course registration starts next Monday.","수강 신청은 다음 주 월요일부터 시작됩니다."
final exam,기말 시험,"The final exam covers all topics from the semester.","기말 시험은 학기 전체 주제를 다룹니다."
midterm,중간 시험,"Midterm results will be posted online.","중간 시험 결과가 온라인에 게시됩니다."
grading system,성적 체계,"The grading system uses letters from A to F.","성적 체계는 A에서 F까지의 등급을 사용합니다."
dining hall,식당,"We have breakfast in the dining hall every morning.","우리는 매일 아침 식당에서 아침을 먹습니다."
peer tutor,동료 튜터,"The peer tutor helped me understand calculus concepts.","동료 튜터가 미적분 개념을 이해하는 데 도움을 주었습니다."
seminar series,강의 시리즈,"The university offers a seminar series on international relations.","대학에서는 국제관계에 관한 세미나 시리즈를 제공합니다."
credit,학점,"Each course is worth three credits.","각 과목은 3학점입니다."
tuition,수업료,"Tuition fees are due at the beginning of the semester.","수업료는 학기 시작 시 납부해야 합니다."
peer review,동료 평가,"The peer review process helps improve research quality.","동료 평가 과정은 연구의 질을 향상시키는 데 도움이 됩니다."
class participation,수업 참여,"Class participation accounts for 10% of your grade.","수업 참여도는 성적의 10%를 차지합니다."
credit transfer,학점 인정,"I applied for credit transfer from my previous university.","저는 이전 대학에서 학점 인정을 신청했습니다."
biology,생물학,"Biology helps us understand living organisms.","생물학은 살아있는 유기체를 이해하는 데 도움을 줍니다."
chemistry,화학,"Chemistry explains how substances interact.","화학은 물질이 어떻게 상호작용하는지 설명합니다."
physics,물리학,"Physics studies motion, energy, and forces.","물리학은 운동, 에너지, 힘을 연구합니다."
mathematics,수학,"Mathematics is used to solve problems and analyze data.","수학은 문제를 해결하고 데이터를 분석하는 데 사용됩니다."
computer science,컴퓨터 공학,"Computer science teaches programming and algorithms.","컴퓨터공학은 프로그래밍과 알고리즘을 가르칩니다."
psychology,심리학,"Psychology explores human behavior and the mind.","심리학은 인간의 행동과 정신을 탐구합니다."
sociology,사회학,"Sociology studies society and social relationships.","사회학은 사회와 사회적 관계를 연구합니다."
economics,경제학,"Economics studies how people use resources.","경제학은 사람들이 자원을 어떻게 사용하는지 연구합니다."
history,역사,"History helps us learn about past events.","역사는 과거 사건에 대해 배우는 데 도움을 줍니다."
engineering,공학,"Engineering applies scientific principles to design and build structures.","공학은 과학 원리를 적용하여 구조물을 설계하고 건설합니다."
environmental science,환경과학,"Environmental science focuses on ecosystems and sustainability.","환경과학은 생태계와 지속 가능성에 중점을 둡니다."
art,미술,"Art classes help develop creativity and expression.","미술 수업은 창의성과 표현력을 개발하는 데 도움을 줍니다."
music,음악,"Music courses teach theory, performance, and composition.","음악 수업은 이론, 연주, 작곡을 가르칩니다."
astronomy,천문학,"Astronomy studies stars, planets, and galaxies.","천문학은 별, 행성, 은하를 연구합니다."
geology,지질학,"Geology studies the Earth, rocks, and minerals.","지질학은 지구, 암석, 광물을 연구합니다."
efficient,효율적인,"The new production method is highly efficient.","새로운 생산 방식은 매우 효율적이다."
effective,효과적인,"This advertising campaign was very effective in increasing sales.","이 광고 캠페인은 매출을 증대시키는 데 매우 효과적이었다."
paleontology,고생물학,"Paleontology is the study of fossils to understand the history of life on Earth.","고생물학은 지구 생명체의 역사를 이해하기 위해 화석을 연구하는 학문이다."
research,"연구; 조사;연구하다; 조사하다","She is conducting research on renewable energy sources.","그녀는 재생 가능 에너지원에 대한 연구를 수행하고 있다."
search,"검색; 수색;검색하다; 수색하다","The police continued their search for the missing person.","경찰은 실종자 수색을 계속했다."
exercise,"운동; 연습;운동하다; (권리를) 행사하다","Regular exercise is essential for maintaining good health.","규칙적인 운동은 좋은 건강을 유지하는 데 필수적이다."
"In conclusion",결론적으로,"In conclusion, I would like to reiterate my main points.","결론적으로, 저의 요점을 다시 한번 강조하고 싶습니다."
"As a result",결과적으로,"He didn't study for the exam. As a result, he failed.","그는 시험공부를 하지 않았다. 그 결과, 그는 불합격했다."
"For these reasons",이러한 이유들로,"The project was over budget and behind schedule. For these reasons, it was canceled.","그 프로젝트는 예산을 초과했고 일정에 뒤처졌다. 이러한 이유들로, 그것은 취소되었다."
genuinely,진정으로; 성실하게,"He seemed genuinely surprised by the news.","그는 그 소식에 진정으로 놀란 것 같았다."
ripe,"익은; 숙성한","These bananas are ripe and ready to eat.","이 바나나들은 익어서 먹을 준비가 되었다."
speculation,"추측; 투기","There is a lot of speculation about the company's future plans.","그 회사의 미래 계획에 대한 많은 추측이 있다."
controversy,논란; 논쟁,"The new policy has caused a great deal of controversy.","새로운 정책은 많은 논란을 일으켰다."
rival,"경쟁자; 경쟁 상대","The two companies are major rivals in the market.","그 두 회사는 시장에서 주요한 경쟁 상대이다."
pleasant,쾌적한; 즐거운,"We spent a pleasant afternoon in the park.","우리는 공원에서 즐거운 오후를 보냈다."
gorgeous,아주 멋진; 화려한,"She looked gorgeous in her evening gown.","그녀는 이브닝드레스를 입고 아주 멋져 보였다."
promotion,"승진; 홍보","Congratulations on your promotion to manager!","관리자로 승진하신 것을 축하합니다!"
notion,"개념; 관념; 생각","She rejected the notion that women are less capable than men.","그녀는 여성이 남성보다 능력이 떨어진다는 관념을 거부했다."
terrified,몹시 무서워하는; 겁먹은,"The loud thunder terrified the small child.","큰 천둥소리가 어린 아이를 몹시 무섭게 했다."
morally,도덕적으로,"Lying to a friend is morally wrong.","친구에게 거짓말을 하는 것은 도덕적으로 옳지 않다."
humid,습한; 눅눅한,"The weather is often hot and humid during the summer.","여름 동안 날씨는 덥고 습한 경우가 많다."
resist,저항하다; 참다,"I couldn't resist eating another cookie.","나는 쿠키를 하나 더 먹고 싶은 유혹을 참을 수 없었다."
"On the other hand",반면에,"The job is challenging. On the other hand, it pays very well.","그 일은 힘들다. 반면에, 급여는 매우 좋다."
skewer,"꼬치; 꼬치에 꿰다","They put chunks of chicken and vegetables on a skewer to grill.","그들은 굽기 위해 닭고기와 채소 덩어리를 꼬치에 꿰었다."
appetizer,애피타이저; 전채 요리,"We ordered some spring rolls as an appetizer.","우리는 애피타이저로 스프링 롤을 주문했다."
numerous,수많은; 다수의,"There are numerous reasons why the project failed.","그 프로젝트가 실패한 데에는 수많은 이유가 있다."
regulate,규제하다; 조절하다,"The government needs to regulate the industry more closely.","정부는 그 산업을 더 면밀히 규제해야 한다."
responsible,책임이 있는; 책임감 있는,"You are responsible for completing your own work.","당신은 자신의 일을 완료할 책임이 있다."
fluently,유창하게,"She can speak four languages fluently.","그녀는 4개 국어를 유창하게 구사할 수 있다."
Italian,"이탈리아의; 이탈리아인; 이탈리아어","We enjoyed an authentic Italian meal at the new restaurant.","우리는 새 레스토랑에서 정통 이탈리아 음식을 즐겼다."
executive,임원; 경영진,"He is a senior executive in a large technology company.","그는 대규모 기술 회사의 고위 임원이다."
desperate,필사적인; 절망적인,"He was desperate for a drink of water.","그는 물 한 잔이 필사적으로 필요했다."
along,~을 따라서,"We took a walk along the river.","우리는 강을 따라 산책했다."
steadily,꾸준히; 착실하게,"The company's profits have been growing steadily.","그 회사의 이익은 꾸준히 증가해왔다."
awe,경외감,"The tourists stared in awe at the grand canyon.","관광객들은 그랜드 캐니언을 경외심을 갖고 바라보았다."
withdraw,"인출하다; 철회하다; 물러나다","I need to withdraw some cash from the ATM.;She decided to withdraw her job application.","나는 현금인출기에서 현금을 좀 인출해야 한다.;그녀는 입사 지원을 철회하기로 결정했다."
admire,"감탄하다; 존경하다","I admire her dedication to her work.","나는 그녀의 일에 대한 헌신에 감탄한다."
conduct,"(특정 활동을) 하다; 지휘하다; 행동","The scientists will conduct a new experiment next week.;His conduct at the party was unacceptable.","과학자들은 다음 주에 새로운 실험을 할 것이다.;파티에서의 그의 행동은 용납될 수 없었다."
amused,재미있어하는; 즐거워하는,"She was amused by the funny story he told.","그녀는 그가 들려준 재미있는 이야기에 즐거워했다."
eagerly,열렬히; 간절히,"The children eagerly opened their presents.","아이들은 간절히 선물을 열어보았다."
prowl,"(먹이를 찾아) 헤매다; 배회하다","The tiger was seen prowling in the jungle at night.","밤에 정글에서 호랑이가 헤매는 것이 목격되었다."
flavor,"맛; 풍미","What is your favorite flavor of ice cream?","가장 좋아하는 아이스크림 맛은 무엇인가요?"
spare,"여분의; 남는; (시간 등을) 할애하다","Can you spare a few minutes to talk?","이야기할 시간 좀 내주실 수 있나요?"
Scholastic,"학업의; 학교의","The student was recognized for her outstanding scholastic achievements.","그 학생은 뛰어난 학업 성취로 인정받았다."
merely,단지; 그저,"It was merely a suggestion, not a command.","그것은 단지 제안이었을 뿐, 명령은 아니었습니다."
weary,지친; 피곤한,"After a long day of work, she felt weary and ready for bed.","긴 하루 일과를 마친 후, 그녀는 지치고 잠자리에 들 준비가 되었다."
phrased,(말로) 표현된,"The instructions were poorly phrased and hard to understand.","그 지시사항은 표현이 서툴러서 이해하기 어려웠다."
reservoir,"저수지; 저장소","The reservoir supplies fresh water to the entire city.","그 저수지는 도시 전체에 신선한 물을 공급한다."
partnership,"동반자 관계; 협력","The two companies entered into a successful partnership.","두 회사는 성공적인 파트너십을 맺었다."
readily,선뜻; 손쉽게,"Help is readily available to those who ask for it.","도움을 요청하는 사람들에게는 언제든지 도움을 받을 수 있다."
perseverance,인내; 끈기,"With perseverance and hard work, she achieved her goal.","인내와 노력으로 그녀는 목표를 달성했다."
proudly,자랑스럽게,"He proudly showed his parents the award he had won.","그는 자신이 받은 상을 부모님께 자랑스럽게 보여드렸다."
ascertained,확인된; 규명된,"After a long investigation, the cause of the accident was finally ascertained.","오랜 조사 끝에 사고의 원인이 마침내 규명되었다."
technician,기술자,"A technician is coming to repair the internet connection.","인터넷 연결을 수리하기 위해 기술자가 올 것입니다."
lipid,"지질; 지방질","Lipids are important for storing energy in the body.","지질은 체내에 에너지를 저장하는 데 중요합니다."
immense,엄청난; 거대한,"The universe is immense and full of wonders.","우주는 거대하고 경이로움으로 가득 차 있습니다."
fueled,연료를 공급받은; 부채질된,"The argument was fueled by a misunderstanding.","그 말다툼은 오해로 인해 부채질되었습니다."
deficiency,결핍; 부족,"An iron deficiency can make you feel tired.","철분 결핍은 당신을 피곤하게 만들 수 있습니다."
clutter,어수선함; 잡동사니,"Please clear the clutter from your desk.","책상 위의 잡동사니를 치워주세요."
exclaim,소리치다; 외치다,"'I found it!' he exclaimed with joy.","'찾았다!' 그가 기쁨에 차 외쳤습니다."
dramatically,극적으로,"The price of the stock dropped dramatically.","그 주식의 가격은 극적으로 떨어졌습니다."
institute,"기관; 협회; 도입하다","The research institute is dedicated to finding a cure.","그 연구 기관은 치료법을 찾는 데 전념하고 있습니다."
immune,면역의; 면역성이 있는,"After getting the vaccine, you should be immune to the virus.","백신을 맞은 후에는 그 바이러스에 면역이 생길 것입니다."
mount,"(증가하여) 오르다; 올라타다","As the deadline approached, the pressure began to mount.","마감일이 다가오면서 압박감이 오르기 시작했습니다."
marriage,결혼; 결혼 생활,"They have a strong and happy marriage.","그들은 굳건하고 행복한 결혼 생활을 하고 있습니다."
aware,알고 있는; 인식하는,"Are you aware that the meeting has been rescheduled?","회의 일정이 변경된 것을 알고 계셨나요?"
rightly,당연히; 마땅히; 올바르게,"She was rightly upset about what had happened.","그녀가 일어난 일에 대해 화를 내는 것은 당연했다."
patiently,끈기 있게; 참을성 있게,"The cat waited patiently for the mouse to appear.","고양이는 쥐가 나타나기를 끈기 있게 기다렸습니다."
unaware,알지 못하는; 눈치 채지 못하는,"He was unaware of the danger that was approaching.","그는 다가오는 위험을 알지 못했습니다."
prisoner,죄수; 포로,"The prisoner was held in a high-security cell.","그 죄수는 보안이 철저한 감방에 수감되었습니다."
parole,가석방,"After ten years, he was finally released on parole.","10년 후, 그는 마침내 가석방으로 풀려났습니다."
speculate,추측하다; 투기하다,"We can only speculate about the reasons for her decision.","우리는 그녀의 결정 이유에 대해 추측만 할 수 있을 뿐입니다."
organ,"(인체의) 장기; 기관; 오르간","The liver is the largest internal organ in the human body.","간은 인체에서 가장 큰 내부 장기입니다."
illegal,불법의,"It is illegal to use a mobile phone while driving.","운전 중 휴대폰을 사용하는 것은 불법입니다."
commander,지휘관; 사령관,"The commander issued orders to the troops.","지휘관은 부대에게 명령을 내렸습니다."
badge,배지; 휘장,"Each employee must wear an identification badge.","각 직원은 신원 확인 배지를 착용해야 합니다."
ceremony,의식; 식,"The opening ceremony of the Olympics was spectacular.","올림픽 개회식은 장관이었습니다."
preference,선호; 애호,"My preference is for coffee, not tea.","저는 차보다는 커피를 더 선호합니다."
British,영국의; 영국인의,"Fish and chips is a traditional British dish.","피시 앤 칩스는 전통적인 영국 요리입니다."
implement,시행하다; 도구,"The new safety measures will be implemented next month.","새로운 안전 조치는 다음 달에 시행될 것입니다."
refrigerator,냉장고,"Don't forget to put the milk back in the refrigerator.","우유를 다시 냉장고에 넣는 것을 잊지 마세요."
insert,넣다; 삽입하다,"Please insert your card into the machine.","기계에 카드를 넣어주세요."
unpopular,인기 없는,"The decision to raise taxes was very unpopular.","세금을 인상하기로 한 결정은 매우 인기가 없었습니다."
underline,밑줄을 긋다; 강조하다,"The report underlines the importance of a healthy diet.","그 보고서는 건강한 식단의 중요성을 강조합니다."
American,미국의; 미국인의,"Baseball is often considered a classic American sport.","야구는 종종 전형적인 미국 스포츠로 여겨집니다."
splash,"(물 등을) 튀기다; 첨벙거리다","He jumped into the pool with a big splash.","그는 큰 물보라를 일으키며 수영장으로 뛰어들었습니다."
ashamed,부끄러운; 창피한,"She was ashamed to admit her mistake.","그녀는 자신의 실수를 인정하기를 부끄러워했습니다."
undo,(원상태로) 되돌리다; 풀다,"I wish I could undo what I said.","내가 한 말을 되돌릴 수 있었으면 좋겠다."
spoil,"망치다; 상하다; (아이를) 버릇없게 키우다","Don't spoil the movie for me by telling me the ending.","결말을 말해서 영화를 망치지 마세요."
illustration,삽화; 실례,"The textbook contains many helpful illustrations.","그 교과서에는 많은 도움이 되는 삽화가 포함되어 있습니다."
emphasis,강조; 중요성,"She placed great emphasis on the need for teamwork.","그녀는 팀워크의 필요성을 크게 강조했습니다."
southern,남쪽의,"My family is from the southern part of the country.","우리 가족은 그 나라의 남쪽 지역 출신입니다."
slogan,슬로건; 구호,"'Just Do It' is a famous slogan from Nike.","'Just Do It'은 나이키의 유명한 슬로건입니다."
beyond,~을 넘어서,"The view from the mountain was beautiful beyond words.","산에서 본 경치는 말로 표현할 수 없을 만큼 아름다웠다."
takeover,(기업) 인수,"The small startup was the subject of a takeover by a larger company.","그 작은 스타트업은 더 큰 회사에 의한 인수의 대상이 되었다."
toddler,아장아장 걷는 아기,"The park was full of toddlers playing in the sand.","공원은 모래 속에서 노는 아기들로 가득했다."
fussy,까다로운; 안달하는,"My son is a fussy eater and dislikes vegetables.","제 아들은 입맛이 까다로워서 채소를 싫어합니다."
rickety,곧 무너질 듯한,"The old chair felt rickety and unsafe.","그 낡은 의자는 곧 무너질 듯하고 불안하게 느껴졌다."
carpet,양탄자; 카펫,"They bought a new carpet for the living room.","그들은 거실에 깔 새로운 카펫을 샀다."
among,~중에; ~사이에,"There is a traitor among us.","우리 중에 배신자가 있다."
signature,서명,"Your signature is required at the bottom of the form.","양식 하단에 서명이 필요합니다."
itch,가려움; 가렵다,"I have an itch on my back that I can't reach.","등에 손이 닿지 않는 가려운 곳이 있다."
unpleasant,불쾌한; 기분 나쁜,"The medicine had an unpleasant taste.","그 약은 불쾌한 맛이 났다."
tremendously,엄청나게,"The team's performance has improved tremendously.","팀의 경기력이 엄청나게 향상되었다."
particular,특정한; 특별한,"Is there any particular reason why you can't come?","올 수 없는 특별한 이유라도 있나요?"
